Hermana, quería hacerte una pregunta del libro de la Revelación, capítulo 2.;Sister, I wanted to ask you a question from the book of the Revelation, chapter 2.
Sí, hermana, Apocalipsis dos, usted puede leer versículos 26, 27;Yes, sister, Revelation two, you may read verses 26, 27
y 28. Ustedes siempre han pensado que este libro son Apocalipsis que el Señor dio al apóstol Pablo,;and 28. You have always thought is that this book are Revelations that the Lord gave to Apostle Paul,
eso es correcto, lo siento, y que éstas también eran profecías que algunos se han cumplido, pero otros todavía estaban pendientes.;that's right, I'm sorry, and that these were also prophecies that some have been fulfilled, but others were still pending.
Así, en el versículo 26, dice el Señor, y el que vence;So, on verse 26, the Lord says, and he who overcomes
y mantiene mis obras hasta el final, a él daré poder sobre las Naciones.;and keeps my works until the end, to him I will give power over the Nations.
¿Qué versículo estás leyendo, hermana, capítulo dos, verso 26?;What verse are you reading, sister, chapter two, verse 26?
Sí, sí, 27 y 28. Sí, hermana, puede leer.;Oh, yes, yes, 27 and 28. Yes, sister, you may read.
Continuaré. Versículo 27, los gobernará con vara de hierro,;I'll continue. Verse 27, he shall rule them with a rod of iron,
serán apegados a pedazos como los vasos de The Potter, como también he recibido de mi padre. Verso 28,;they shall be attached to pieces like The Potter's vessels, as I also have received from my father. Verse 28,
y le daré la estrella de advertencia. Una hermana, así que un par de preguntas surgen,;and I will give him the warning star. A sister, so a couple of questions come up,
¿Cómo es esto de dar poder sobre las Naciones, porque en el versículo 27 el Señor dice que también lo he recibido de mi padre,;how is this of giving power over the Nations, because on verse 27 he the Lord says I also have received it from my father,
y el 28 ¿Qué es esto de la Estrella de la Mañana?;and on 28 what is this of the Morning Star?
Sí, bueno, 25 verso 25 dice, pero sostén lo que tienes hasta que te guste venir.;Yes, well, 25 verse 25 says, but hold fast what you have till like come.
El Señor dice al pueblo, a los creyentes, y al que vence;The Lord says to the people, to the Believers, and he who overcomes
y mantiene mis obras hasta el final supera el significado superando todas las dificultades, ataques del enemigo que viene contra nosotros,;and keeps my works until the end overcomes meaning overcoming all difficulties, attacks of the enemy that comes against us,
nos persigue, coloca tribulaciones, enfermedades, accidentes, tristeza, separación, divisiones entre familias, chismes, calumnias,;he persecutes us, places tribulations, illness, accidents, sadness, separation, divisions among families, gossip, slander,
todo esto viene del enemigo constantemente contra nosotros, y debemos vencer, ¿verdad?;all of this comes from the enemy constantly against us, and we ought to overcome, right?
Debemos superar todos esos obstáculos, y dice que todos los que superan los obstáculos que menciono;We ought to overcome all of those obstacles, and it says that all of those who overcome the obstacles that I mention
y más, dice y guarda mis obras y guarda las obras de Dios, la palabra de Dios.;and more, he says and keeps my works and keeps the works of God, the word of God.
En otras palabras, cumplir, cumplir los Mandamientos. ¿Cuáles son los Mandamientos, para no cometer pecado?;In other words, fulfill, fulfill the Commandments. What are the Commandments, to not commit sin?
Sabemos cuáles son esos pecados, conocemos muchos de ellos, para no cometerlos, sino para obedecer a Dios,;We know what are those sins, we know many of them, to not commit them, but to obey God,
vivir una vida justa, ¿verdad? Así que el Señor dice que el que vence;living a righteous life, right? So, the Lord says he who overcomes
y sufre todos esos ataques y persecución del diablo;and suffers all of those attacks and persecution of the devil
y todas esas tribulaciones y hace la voluntad de Dios, él es el que va a Triumph.;and all of those tribulations and does the will of God, he is the one who's going to Triumph.
Dice que daré poder sobre las Naciones. ¿Crees hermanos;He says I will give power over the Nations. Do you think brothers
y hermanas que el poder sobre las Naciones es cuando Dios nos da un don espiritual,;and sisters that power over the Nations is when God gives us a spiritual gift,
cuando tenemos la oportunidad de orar por la gente, gobernadores quizás reyes,;when we have the opportunity to pray for people, Governors perhaps Kings,
porque todo eso sucederá donde Dios va a usar a sus hijos para estar entre esas grandes personas;because all of that will happen where God is going to use his children to be among those great people
y ellos necesitarán de Dios y necesitarán que alguien rece por ellos;and they will need of God and they will need for someone to pray over them
¿Y entonces Dios les hablará? Y el creyente que tiene esos dones espirituales se vuelven superiores,;and then God will speak to them? And the believer who has those spiritual gifts they become Superior,
se vuelven superiores, se convierten en una persona que es respetable, por lo que llegan a esa persona y los respetan.;they become Superior, they become a person who is respectable, so they come to that person and they respect them.
He tenido la oportunidad de orar por gente importante.;I have had the opportunity to pray for important people.
Recé y Dios les habló, y después de esa oración a las personas que supuestamente son muy importantes;I prayed and God spoke to them, and after that prayer those people who are supposedly very important
y muy alto rango comenzaron a respetarme, comenzaron a obedecer;and very high rank they began to respect me, they began to obey
y vivir fuera de mi consejo. Dicen preguntar a Marie Louisa ¿qué piensa de esto o de eso?;and to live off of my advice. They would say ask Marie Louisa what does she think about this or that?
Así que eso significa que daré poder sobre las naciones en otras palabras sobre las personas importantes,;So that is what that means I will give power over the nations in other words over important people,
porque hay tantos títulos o títulos o presidentes o reyes,;because as many titles or degrees or presidents or Kings there are,
todavía son seres humanos que en un momento en su vida no son capaces de averiguar qué hacer o qué decisiones tomar,;they are still human beings that in a moment in their life they are not able to figure out what to do or what decisions to make,
y se sienten como seres humanos que están abrumados y vencidos,;and they feel like human beings that are overwhelmed and overcome,
y que está allí para ayudarles a Dios usando a un hombre o mujer como un instrumento para criar a estas personas para traerles esperanza para tomar una decisión.;and who is there to help them God using who using a man or woman as an instrument to raise these people to bring them hope to make a decision.
Así que eso es lo que significa que daré poder sobre las Naciones,;So that's what it means I will give power over the Nations,
eso es lo que significa hablar en un sentido general, pero estamos hablando específicamente esto es lo que sucede.;that is what that means speaking in a general sense, but we are speaking specifically this is what happens.
Así que vine a ser una persona respetable para esas personas conocidas,;So I came to be a respectable person for those well-known people,
