Gálatas 6:1 dice, hermanos, que si alguno es vencido en pecado,;Galatians 6:1 says, brethren, if a man is overtaken in any trespass,
ustedes que son espirituales restaurar tal uno en un espíritu de dulzura, considerandose a sí mismos para que no sean tentados también.;you who are spiritual restore such a one in a spirit of gentleness, considering yourself lest you also be tempted.
Así que, lo encuentro muy hermoso, el ejemplo establecido por los maestros que tenemos en la iglesia,;So, I find it very beautiful, the example set by the teachers we have in the church,
que son los últimos en descubrir cosas como rumores o chismes que a menudo causan contaminación.;that they are the last ones to find out about things like rumors or gossip that so often cause contamination.
Y este versículo me parece resumir una buena parte de lo que tu hermana podría explicarnos acerca de la misericordia.;And this verse seems to me to summarize a good part of what you sister could explain to us about mercy.
A veces comienza un rumor y al final resulta que era una mentira,;Sometimes a rumor starts and it turns out in the end that it was a lie,
pero a veces somos muy duros y nos apresuramos a juzgar.;but sometimes we are very harsh and we rush to judge.
Este versículo nos dice, no juzgues porque esa misma cosa podría sucederte.;This verse tells us, do not judge because that very thing could happen to you.
Bueno, lo que siempre hemos pensado es que cuando hay problemas, dificultades, disputas o controversias entre los creyentes,;Well, what we have always thought is that when there are problems, difficulties, disputes, or contentions among believers,
debemos reunir a la gente, enfrentar la situación, enfrentar la situación,;we must bring people together, confront the situation, confront the situation,
e investigar para averiguar lo que es verdad, lo que no es, y lo que está pasando realmente.;and investigate to find out what is true, what isn't, and what is actually going on.
Eso es lo que siempre hemos pensado que deberíamos celebrar una reunión para enfrentar el tema donde dijo,;That is what we have always thought that we should hold a meeting to confront the issue where it said,
estás haciendo esto, dijiste eso. Eso es lo que se hace, ¿verdad?;you are doing this, you said that. So, that's what is done, right?
Se enseña a hacer esto sabiamente. Sin embargo, hay momentos en que la gente puede olvidar o no tener la capacidad de manejar este tipo de reuniones;It is taught to do this wisely. Yet, there are times when people may forget or may not have the ability to handle these kinds of meetings
y terminan cayendo en el error de chismes, charla o rumores.;and they end up falling into the error of gossip, idle talk, or rumor-mongering.
Pero por eso luchamos todos los días.;But, that is why we are battling every day, you know.
Cada día estamos luchando, cada día estamos haciendo un esfuerzo para que las cosas mejoren.;Every day we are striving, every day we are making an effort for things to improve.
Aprendemos de nuestros errores, de los defectos que cometemos, y también aprendemos mucho de las malas experiencias,;We learn from our mistakes, from the flaws we commit, and we also learn a lot from bad experiences,
y así es como seguimos aprendiendo. Así que, se dice que debemos tener algo de tolerancia, ¿verdad?;and that's how we keep learning. So, it's said that we must have some tolerance, right?
Se dice que debemos tener un poco de tolerancia;It's said that we must have a bit of tolerance
y ponernos en los zapatos de otros para no juzgar apresuradamente, sino considerar lo que ha sucedido,;and put ourselves in the shoes of others so as not to judge hastily, but to consider what has happened,
por qué sucedió, y orar por los involucrados. Porque la mayoría de los problemas o disputas que existen en la congregación se deben a personas que tienen espíritus.;why it happened, and pray for those involved. Because the majority the majority of problems or disputes that exist in the congregation are due to people who have spirits.
Hay personas con espíritus malignos, y esos espíritus malignos les incitan a comportarse inapropiadamente tanto en cómo hablan;There are people with evil spirits, and those evil spirits incite them to behave inappropriately both in how they talk
y en cómo actúan de maneras que ofenden a otros.;and in how they act in ways that offend others.
