Hermana María Luisa: Tengo una pregunta en Hebreos capítulo 1, verso número 14.;Sister, Maria Luisa: I have a question in Hebrews chapter 1, verse number 14.
Sí, dice: '¿No son todos espíritus ministradores, enviados para servir a aquellos que heredarán la salvación?;Yes, it states: 'Are they not all ministering spirits, sent forth to minister for those who will inherit salvation?
Mi entendimiento es que los que heredarán la salvación somos nosotros, la Iglesia de Dios.;' My understanding is that those who will inherit salvation are us, the Church of God.
Pero lo que no entiendo es quiénes son los espíritus ministradores?;But what I do not understand is who are the ministering spirits?
Los ángeles. Los ángeles son los espíritus ministradores de Dios.;The angels. The angels are the ministering spirits of God.
Dios los usa para hacer cosas buenas para los hijos del Señor, para la Iglesia de Dios.;God uses them to do good things for the children of the Lord, for the Church of God.
El Señor utiliza, hace un gran uso de los ángeles para servirnos.;The Lord uses, makes great use of the angels to serve us.
Cada vez que estás en peligro, o tu vida está en peligro,;Each time you are in danger, or your life is in danger,
y tal vez un oficial de policía aparece y le ayuda, viene a su ayuda, es un ángel que Dios envió.;and maybe a police officer appears and helps you, comes to your aid, that's an angel God sent.
Sí. Si estás en el hospital, estás muriendo en el hospital;Yes. If you're in the hospital, you're dying in the hospital
y hubo un accidente, tal vez Dios envía un ángel;and there was an accident, maybe God sends an angel
y entra en el médico o en las enfermeras, y luego todo va bien para usted.;and enters into the doctor or the nurses, and then everything goes well for you.
Así que Dios usa ángeles para ayudar y ayudar a sus hijos.;So God uses angels to aid and help his children.
Sólo que cuando oramos, o cuando nos presentamos a Dios, no decimos, Señor,;Only that we when we pray, or when we present ourselves to God, we don't say, Lord,
envía un ángel para que venga a hacer esto por mí. No.;send an angel to come do this for me. No.
Decimos, Señor, bendíceme, protegeme. Sabe si lo hará directamente o si enviará un ángel para que venga a protegerme o ayudarme.;We say, Lord, bless me, protect me. He knows if he will do it directly or if he will send an angel to come protect me or help me.
Eso es. Y ahora no vamos a rezar;That's it. And now we are not going to pray
y llama a los ángeles y di: 'Oh ángel, tal y tal ángel que está cerca, ven a ayudarme.';and call upon angels and say, 'Oh angel, such and such an angel who is close by, come help me.'
No. Porque me estoy presentando y hablando con Dios,;No. Because I am presenting myself and speaking to God,
y Dios necesita dar la orden a sus siervos, que son los ángeles, para venir a ayudar a los creyentes.;and God needs to give the order to his servants, who are the angels, to come to help the believers.
Y así los ángeles ayudan de diferentes maneras. Entran;And so the angels, they help in different ways. They come in
y poseer incluso a la gente misma, y en las circunstancias que la gente está enfrentando, para venir;and possess even people themselves, and in the circumstances that people are facing, to come
y ayudarnos en el momento que necesitamos. Pero también debemos ser merecedores ante Dios para que Él nos proteja;and help us in the moment that we need. But we also must be deserving before God so that He may protect us
y bendecirnos, mantenernos a salvo, y nos ayuda en el momento que lo necesitamos.;and bless us, keep us safe, and helps us in the moment that we need it.
Eso es. Los ángeles son así. Por eso hay religiones que comenzaron a prestar servicio a los ángeles.;That's it. The angels are this way. This is why there are religions who started to render service to angels.
Hay una religión que ofrece servicio a los ángeles, y hay oraciones por los ángeles.;There's a religion that offers service to angels, and There's prayers for the angels.
Pero Dios no nos ha enseñado a hacer estas cosas.;But God has not taught us to do these things.
El Señor nos dice que todo lo que hacemos debemos presentarnos ante el Padre en el nombre de Jesucristo No,;The Lord tells us that everything we do we must present ourselves before the Father in the name of Jesus Christ No,
uno más, tú.;one else, you.
