Hermana, ¿qué significa tener un alto estado espiritual,;Sister, what does it mean to have a high spiritual status,
¿Y para qué sirve? Gracias. Que el Señor te bendiga.;and what is it for? Thank you. May the Lord bless you.
¿Para qué se podría utilizar? Bueno, lo que es amar al Señor;What could it be used for? Well, what is loving the Lord
¿y dejar el mundo acostumbrado? Bueno, ya sabes cuáles son los pecados.;and leaving the world used for? Well, you already know what the sins are.
Todos los pecados que ya conocemos de corazón, pero hay algunos pecados que realmente causan mucho daño, orgullo,;All sins we already know by heart, but there are some sins that really cause a lot of harm, pride,
envidia, codicia, ¿verdad? Esos pecados causan tanto daño, y a veces estamos con la gente,;envy, greed, right? Those sins cause so much harm, and we are sometimes with people,
y se ríen con nosotros, pero son tan hipócritas, mienten, envidian;and they laugh along with us, but they're so hypocritical, they're lying, envious
y orgullosos y furiosos, todos esos pecados ocultos, esos pecados secretos que están tratando de ocultar.;and proud and wrathful, all of those hidden sins, those secret sins that they are trying to hide.
Pero cuando abandonamos todas esas cosas, porque lo estamos haciendo con la ayuda de Dios,;But when we abandon all of those things, because we are doing it with the help of God,
porque Dios es el que nos ayuda a cambiar, quiero cambiar, Señor, y yo hago la obra,;because God is the one who helps us to change, I want to change, Lord, and I do the work,
y quiero hacerlo, y el Señor ve mi esfuerzo.;and I aim to do that, and the Lord sees my effort.
Estoy haciendo este esfuerzo para intentar cambiar, así que el Señor me ayuda.;I'm making this effort to try and change, so the Lord helps me.
El Señor dice que esta persona quiere cambiar. Voy a ayudarlos.;The Lord says this person wants to change. I'm going to help them.
Esta persona quiere cambiar para que cambien completamente,;This person wants to change so that they change completely,
y son capaces de complacerme y vivir una vida justa y santa.;and they are able to please me and live an upright, holy life.
Esto es alcanzar un alto estatus espiritual. Cambias, y así subes una cierta cantidad de grados en tu vida espiritual,;This is attaining a high spiritual status. You change, and so you go up a certain amount of degrees in your spiritual life,
y eso está ascendiendo en su estado espiritual, lo que significa su testimonio, la vida que usted conduce.;and that is ascending in your spiritual status, meaning your testimony, the life that you lead.
Así que antes, tal vez eras una persona que era irascible, una persona odiosa que decía muchas cosas obscenas,;So before, maybe you were a person who was wrathful, a hateful person who said a lot of obscene things,
cosas ofensivas, y con la ira y contensiones y argumentos.;offensive things, and with the anger and contentions and arguments.
Pero luego cambiaste porque querías complacer a Dios,;But then you changed because you wanted to please God,
y Dios te ayudó, así que ahora eres una persona pacífica, respetuoso, bien educada, ya no estás curando a la gente,;and God helped you, so now you're a peaceful person, respectful, well-mannered, no longer are you cursing people,
ya no estás furioso, no ofendes a la gente. Así que alguien dice, bueno tienes a Dios,;you're no longer wrathful, you don't offend people. So someone says, well you have God,
eres una persona que tiene a Dios porque has cambiado, ya no eres la misma persona que antes, ahora eres santo.;you're a person who has God because you've changed, you're no longer the same person as before, you're now holy.
Que llamamos tener un alto estado espiritual. Así como empezamos a cambiar, nuestro estado espiritual comienza a ascender.;That we call having a high spiritual status. So as we begin to change, our spiritual status starts to ascend.
Ahora ni siquiera nos damos cuenta porque estamos aquí en la tierra,;Now we don't even realize it because we're here on earth,
pero Dios es el que ve el estatus en el que todos estamos,;but God is the one who sees the status in which we are all in,
y Él quiere que todos subamos continuamente. Por eso nos dice que Dios está en las alturas,;and He wants us all to continuously ascend. So this is why it tells us that God is in the heights,
Dios está en lo alto, Dios está en lo más alto de las alturas.;God is on high, God is in the highest of the heights.
Pero resulta que Dios está aquí con nosotros. Pero si comparamos esa altura con lo físico,;But it turns out God is here with us. But if we compare that height with what is physical,
bueno entonces, por supuesto, no coincide porque entonces diríamos, bueno eso definitivamente está más allá de los planetas, pero no,;well then, of course, it doesn't match because then we would say, well that's definitely far beyond planets, but no,
Dios está aquí, y también dice que Dios está en las alturas,;God is here, and it also says God is in the heights,
así que espiritualmente las cosas son tan diferentes de las cosas físicas.;so spiritually things are so different from the physical things.
Pero por supuesto sabemos que esto es sólo un status para decir que Dios está en las alturas,;But of course we know that this is just a status to say that God is in the heights,
es su estatus, es su prestigio, pero el Señor está aquí muy cerca de nosotros.;it's His status, it's His prestigious status, but the Lord is here so very close to us you.
