Hermana, buenas noches. Dios la bendiga. Quería hacer una pregunta sobre la Biblia.;Sister, good evening. God bless you. I wanted to ask a question about the Bible.
En 1 Timoteo 5 versículo 22 dice: "No impongas con ligereza las manos a ninguno, ni participes en pecados ajenos. Consérvate puro.";In 1 Timothy 5 verse 22, it states, "Do not lay hands on anyone hastily, nor share in other people's sins. Keep yourself pure."
Mi pregunta es sobre la primera parte de este versículo que dice: "No impongas con ligereza las manos a ninguno.";My question is about the first part of this verse that says, "Do not lay hands on anyone hastily."
Refiriéndome a lo que Dios siempre nos dice en las profecías de la Biblia.;Referring back to what God always tells us in the Bible prophecies.
Me he encontrado con personas de otras denominaciones que leen la Biblia en versiones modernas más contemporáneas.;I've come across people from other denominations who read the Bible in more contemporary modern versions.
En la Nueva Traducción Viviente, este mismo versículo se expresa en términos de nombrar a un líder.;In the New Living Translation, this same verse is expressed in terms of appointing a leader.
Dice: "Nunca te apresures a nombrar a un líder de la iglesia.";It says, "Never be in a hurry about appointing a church leader."
Mi pregunta es sobre eso. Bueno, ese cambio de vocabulario está completamente equivocado porque no tiene el mismo significado.;My question is about that. Well, that change in vocabulary is completely wrong because it doesn't carry the same meaning.
¿Cómo puede ser lo mismo cuando dice no impongas con ligereza las manos a ninguno?;How can it be the same when it says do not lay hands on anyone hastily?
La Biblia enseña sobre el don de la imposición de manos. Está en Corintios.;The Bible teaches about the gift of laying on of hands. It's in Corinthians.
Existía y todavía existe el don de la imposición de manos para recibir bendiciones.;There was and still is the gift of laying on of hands to receive blessings.
Y la Biblia dice que pondrán las manos sobre los enfermos y sanarán.;And the Bible says they will lay hands on the sick and they will heal.
Así que el Señor estableció eso. ¿Quién puede ahora usando lenguaje moderno cambiar esa frase? No pueden cambiarla.;So the Lord established that. Who can now using modern language change that phrase? They can't change it.
Cuando dice no impongas con ligereza las manos a ninguno, fue dicho a Timoteo por una razón.;When it says do not lay hands on anyone hastily, it was said to Timothy for a reason.
Timoteo era un profeta, un apóstol, un discípulo.;Timothy was a prophet, an apostle, a disciple.
Y en ese pueblo donde estaban predicando, la gente era muy mala. Personas pecaminosas que decían ser judíos pero solo de nombre.;And in that town where they were preaching, the people were very bad. Sinful people who claimed to be Jews but only in name.
Porque seguían pecando, haciendo cosas contra la voluntad de Dios y estaban contaminados por las naciones.;Because they kept on sinning, doing things against God's will and were contaminated by the nations.
Así que quizás había alguien que no merecía el beneficio. Tal vez una persona malvada que Timoteo reconoció.;So perhaps there was someone who didn't deserve the benefit. Maybe a wicked person Timothy recognized.
Así que la instrucción era: no le impongas las manos porque lo que necesita es el castigo de Dios por su pecado.;So the instruction was, "Don't lay hands on him because what he needs is God's punishment for his sin."
Y su mala vida ya que no quiere convertirse, no quiere buscar a Dios y no quiere hacer la voluntad del Señor.;And his bad life since he doesn't want to convert, doesn't want to seek God, and doesn't want to do the Lord's will.
El Señor estaba molesto. No le impongas las manos porque no merece una bendición. Esa era la advertencia.;The Lord was upset. Don't lay hands on him because he doesn't deserve a blessing. That was the warning.
Sé sabio. Ten discernimiento y observa a la gente en ese lugar.;Be wise. Have discernment and observe the people in that place.
Porque era una instrucción para ese momento particular y situación dada a Timoteo.;Because it was an instruction for that particular time and situation given to Timothy.
Donde había personas que no merecían las bendiciones de Dios. Personas que hacían cosas muy malas.;Where there were people who didn't deserve God's blessings. People who did very evil things.
No querían estar en buena relación con Dios y eran un mal ejemplo o un obstáculo para los creyentes.;Didn't want to be in good standing with God and were a bad example or a hindrance to the believers.
Por eso el apóstol dijo: "No te apresures. Primero mira a quién le vas a imponer las manos.";That's why the apostle said, "Don't be hasty. First look at who you're going to lay hands on."
Pero eso fue algo para ese momento para él en ese lugar.;But that was something for that moment for him in that place.
Hoy en nuestra vida espiritual, el Señor nos enseña y él mismo descarta, quita o castiga a los que se niegan a someterse a su voluntad.;Today in our spiritual life, the Lord teaches us and he himself discards, removes or punishes those who refuse to submit to his will.
Pero aquí estamos hablando de traducción.;But here we're talking about translation.
Dices que las nuevas Biblias en lenguaje moderno lo traducen como: "Nunca te apresures a nombrar a un líder de la iglesia.";You say the new Bibles in modern language render it as, "Never be in a hurry about appointing a church leader."
Incluso se contradicen allí porque ¿quién nombra a un líder? Los líderes nacen, no se hacen.;They even contradict themselves there because who appoints a leader? Leaders are born, not made.
