Ahogarse en un vaso de agua.;To make a mountain out of a molehill.
Buscar una aguja en un pajar.;To look for a needle in a haystack.
Buscarle tres pies al gato.;To overcomplicate things.
Costar un ojo de la cara.;To cost an arm and a leg.
Dar en el clavo.;To hit the nail on the head.
Dar gato por liebre.;To rip someone off.
Dar la cara.;To face the consequences.
Dar la nota.;To stand out for the wrong reasons.
Dar la talla.;To measure up.
Dar la vuelta a la tortilla.;To turn things around.
Dar un giro de 180 grados.;To make a complete turnaround.
Dar vueltas al asunto.;To beat around the bush.
Dormirse en los laureles.;To rest on your laurels.
Echar leña al fuego.;To add fuel to the fire.
Estar a punto de estallar.;To be about to explode.
Estar al borde del colapso.;To be on the verge of falling apart.
Estar al límite.;To be at your breaking point.
Estar al loro.;To stay alert.
Estar al pie del cañón.;To be there when it matters.
Estar como pez en el agua.;To feel right at home.
Estar como una cabra.;To be crazy.
Estar con el agua al cuello.;To be up to your neck.
Estar con la soga al cuello.;To be under intense pressure.
Estar de capa caída.;To be going through a rough patch.
Estar de los nervios.;To be a nervous wreck.
Estar de uñas.;To be irritated.
Estar de vuelta.;To have seen it all.
Estar en apuros.;To be in a tight spot.
Estar en boca de todos.;To be the talk of the town.
Estar en deuda.;To owe someone one.
Estar en el horno.;To be in deep trouble.
Estar en el ojo del huracán.;To be at the center of the storm.
Estar en el punto de mira.;To be under scrutiny.
Estar en la cuerda floja.;To be on thin ice.
Estar en las nubes.;To have your head in the clouds.
Estar en las últimas.;To be at the end of your rope.
Estar en pie de guerra.;To be ready for a fight.
Estar entre algodones.;To be treated delicately.
Estar entre la espada y la pared.;To be caught between a rock and a hard place.
Estar hasta arriba.;To be overwhelmed.
Estar hasta el cuello.;To be overwhelmed.
Estar hasta las narices.;To be fed up.
Estar hecho polvo.;To be exhausted.
Estar hecho trizas.;To be shattered.
Estar hecho un lío.;To be all over the place.
Estar más perdido que un pulpo en un garaje.;To be completely lost.
Estar más tieso que una vela.;To be flat broke.
Hacer algo a regañadientes.;To do something reluctantly.
Hacer borrón y cuenta nueva.;To start from scratch.
Hacer borrón y cuenta nueva.;To start fresh.
Hacer borrón.;To wipe the slate clean.
Hacer castillos en el aire.;To build castles in the air.
Hacer de tripas corazón.;To grin and bear it.
Hacer la pelota.;To suck up to someone.
Hacer la vista gorda.;To turn a blind eye.
Hacer oídos sordos.;To turn a deaf ear.
Hacer tiempo.;To kill time.
Hacerse el loco.;To play dumb.
Ir a ciegas.;To go in blind.
Ir a contracorriente.;To go against the grain.
Ir a peor.;To get worse.
Ir a por todas.;To give it everything.
Ir a remolque.;To lag behind.
Ir a toda máquina.;To go full speed.
Ir al choque.;To confront directly.
Ir al grano.;To get straight to the point.
Ir al grano.;To cut to the chase.
Ir al límite.;To push it to the edge.
Ir al pie de la letra.;To follow to the letter.
Ir al ritmo de.;To keep up with.
Ir con cuidado.;To watch your step.
Ir con el agua al cuello.;To be barely keeping afloat.
Ir con la corriente.;To go with the flow.
Ir con pies de plomo.;To tread carefully.
Ir con pies de plomo.;To tread carefully.
Ir con retraso.;To be running behind.
Ir de boca en boca.;To spread quickly.
Ir de cabeza.;To jump right in.
Ir de capa caída.;To be going downhill.
Ir de mal en peor.;To go from bad to worse.
Ir por buen camino.;To be heading in the right direction.
Ir por libre.;To do your own thing.
Ir por mal camino.;To be headed in the wrong direction.
Ir sobre ruedas.;To go smoothly.
Ir viento en popa.;To be going smoothly.
Irse al traste.;To fall apart.
Irse con la música a otra parte.;To go somewhere else with that.
Irse de madre.;To get out of hand.
Irse por las ramas.;To ramble on.
Llevarse el gato al agua.;To come out on top.
Llover sobre mojado.;When it rains, it pours.
Meter la pata.;To put your foot in it.
No caber en sí de alegría.;To be over the moon.
No dar crédito.;To not believe your eyes.
No dar el brazo a torcer.;To refuse to back down.
No dar el brazo a torcer.;To refuse to give in.
No dar pie con bola.;To keep getting it wrong.
No dar pie con bola.;To keep getting everything wrong.
No dar puntada sin hilo.;To do nothing without a reason.
No dar tregua.;To give no break.
No dejar pasar una.;To not let anything slide.
No dejar títere con cabeza.;To criticize everyone.
No estar el horno para bollos.;It’s not the right time for that.
No estar en juego.;To not be at stake.
No estar en sus cabales.;To be out of your mind.
No estar en todas.;To miss what’s happening.
No estar muy católico.;To not feel well.
No estar para bromas.;To not be in the mood for jokes.
No estar para nadie.;To want to be left alone.
No levantar cabeza.;To struggle to recover.
No levantar cabeza.;To struggle to recover.
No mover ficha.;To make no move.
No mover un dedo.;To not make any effort.
No pegar ni golpe.;To not lift a finger.
No pegar ojo en toda la noche.;Not to sleep a wink all night.
No pegar ojo.;Not to sleep a wink.
No pegar una.;To keep messing up.
No saber ni por dónde empezar.;To have no clue where to begin.
No saber por dónde empezar.;To not know where to begin.
No ser de fiar.;To be untrustworthy.
No ser moco de pavo.;To be no small matter.
No ser santo de mi devoción.;Not to be my favorite person.
No tener corazón.;To be heartless.
No tener desperdicio.;To be something else.
No tener desperdicio.;To be unforgettable.
No tener donde caerse muerto.;To be broke.
No tener escapatoria.;To have no way out.
No tener filtro.;To have no filter.
No tener nada que ver.;To have nothing to do with it.
No tener ni idea.;To not have the slightest clue.
No tener ni pies ni cabeza.;To make no sense.
No tener ni pies ni cabeza.;To make absolutely no sense.
No tener ni voz ni voto.;To have no say.
No tener pelos en el corazón.;To be ruthless.
No tener pelos en la lengua.;To speak one’s mind.
No tener pelos en la lengua.;To say exactly what you think.
No tener remedio.;To be beyond fixing.
No tener sangre en las venas.;To be cold-hearted.
No tener vuelta de hoja.;There’s no way around it.
No tocar ni con un palo.;To avoid completely.
No ver salida.;To see no way out.
No ver tres en un burro.;To be blind to what’s obvious.
Pagar los platos rotos.;To take the blame.
Pillar con las manos en la masa.;To catch red-handed.
Poner contra las cuerdas.;To corner someone.
Poner el dedo en la llaga.;To hit a sore spot.
Poner el grito en el cielo.;To raise hell.
Poner los puntos sobre las íes.;To set the record straight.
Poner pies en polvorosa.;To run for it.
Poner tierra de por medio.;To put some distance between.
Poner toda la carne en el asador.;To go all in.
Poner verde a alguien.;To badmouth someone.
Ponerse en los zapatos de alguien.;To put yourself in someone’s shoes.
Ponerse las botas.;To have a field day.
Ponerse las pilas.;To get your act together.
Ponerse rojo como un tomate.;To turn red as a beet.
Quedarse a cuadros.;To be stunned.
Quedarse a las puertas.;To come close but miss out.
Quedarse a medio camino.;To fall short.
Quedarse atrás.;To fall behind.
Quedarse con cara de pocos amigos.;To look upset.
Quedarse con la boca abierta.;To be left speechless.
Quedarse con la espina.;To be left bothered by something.
Quedarse con lo puesto.;To lose everything.
Quedarse con los brazos cruzados.;To stand by and do nothing.
Quedarse corto.;To underestimate.
Quedarse de brazos cruzados.;To sit back and do nothing.
Quedarse de piedra.;To be stunned.
Quedarse de piedra.;To be frozen in shock.
Quedarse en blanco.;To draw a blank.
Quedarse en el tintero.;To be left unsaid.
Quedarse en evidencia.;To be exposed.
Quedarse en nada.;To come to nothing.
Quedarse en ridículo.;To make a fool of yourself.
Quedarse fuera de juego.;To be caught off guard.
Quedarse fuera de lugar.;To feel out of place.
Quedarse fuera del juego.;To be left out.
Quedarse sin aliento.;To be breathless.
Quedarse sin blanca.;To be broke.
Quedarse sin opciones.;To run out of options.
Quedarse sin palabras.;To be at a loss for words.
Quedarse sin salida.;To be cornered.
Quedarse tocado.;To be emotionally shaken.
Saber a gloria.;To taste amazing.
Sacar de quicio.;To drive someone up the wall.
Salir del paso.;To get by.
Ser harina de otro costal.;That’s a different story.
Ser la oveja negra.;To be the black sheep.
Ser pan comido.;To be a piece of cake.
Ser un cero a la izquierda.;To be irrelevant.
Ser uña y carne.;To be as thick as thieves.
Tener algo en la punta de la lengua.;To have something on the tip of your tongue.
Tener algo entre ceja y ceja.;To be fixated on something.
Tener cuentas pendientes.;To have unfinished business.
Tener dos dedos de frente.;To have common sense.
Tener el agua lejos.;To be hard to reach.
Tener el cielo ganado.;To deserve recognition.
Tener el corazón en un puño.;To be on edge.
Tener el día torcido.;To be having a bad day.
Tener el mundo encima.;To feel the weight of the world.
Tener el santo de espaldas.;To have terrible luck.
Tener el tiempo encima.;To be running out of time.
Tener la cabeza en otra parte.;To have your mind elsewhere.
Tener la cabeza hecha un lío.;To have your head all mixed up.
Tener la fiesta en paz.;To keep things calm.
Tener la lengua larga.;To have a big mouth.
Tener la mosca detrás de la oreja.;To smell something fishy.
Tener la negra.;To be down on your luck.
Tener la palabra en la boca.;To be about to say something.
Tener la piel de gallina.;To get goosebumps.
Tener la sangre caliente.;To have a short temper.
Tener la sartén por el mango.;To have the upper hand.
Tener la última palabra.;To have the final say.
Tener las ideas claras.;To know exactly what you want.
Tener las manos atadas.;To have your hands tied.
Tener madera para algo.;To have what it takes.
Tener mala espina.;To give off bad vibes.
Tener mala leche.;To be in a bad mood.
Tener mala pata.;To have bad luck.
Tener mala sombra.;To bring bad vibes.
Tener más cara que espalda.;To have some nerve.
Tener más cuento que Calleja.;To be full of excuses.
Tener más moral que el Alcoyano.;To stay unrealistically optimistic.
Tener más vidas que un gato.;To survive everything.
Tener un as bajo la manga.;To have an ace up your sleeve.
Tener un cacao mental.;To be mentally confused.
Tener un humor de perros.;To be in a terrible mood.
Tener un mal día.;To be having a rough day.
Tener un nudo en la garganta.;To have a lump in your throat.
Tener un pie en el otro barrio.;To be close to death.
Tener un pie fuera.;To have one foot out the door.
Estar en serios problemas;To be in serious trouble.
Tenerlo todo bajo control.;To have everything under control.
Tirar la casa por la ventana.;To spare no expense.
Tirar la toalla.;To throw in the towel.
Tirar por la borda.;To throw away.
Tomar el pelo.;To pull someone’s leg.
