Esta noche vamos a aprovechar bien el tiempo y a reflexionar sobre la palabra del Señor.;This evening we are going to take full advantage of the time and reflect upon the word of the Lord.
Vamos a recordar lo que Dios nos enseña en la Biblia y lo que ha enseñado desde el principio a la humanidad.;We are going to remember what God teaches us in the Bible and what God has taught from the very beginning to mankind.
El Señor nos da sus enseñanzas y sus mandamientos, y necesitamos recordarlos siempre leyendo la Biblia constantemente.;The Lord gives us his teachings and his commandments, and we need to always remember them by reading the Bible constantly.
Debemos leer la Biblia de principio a fin: Génesis, Éxodo, Levítico, Números, Deuteronomio, los Reyes, Crónicas, Jueces, Josué y Samuel.;We must read the Bible from beginning to end: Genesis, Exodus, Leviticus, Numbers, Deuteronomy, the Kings, Chronicles, Judges, Joshua, and Samuel.
Allí encontramos todos los mandamientos del Señor, la palabra de Dios y lo que él ordenó al pueblo de Israel.;There we find all of the Lord's commandments, the word of God, and what he ordered the people of Israel.
No debemos dejar que nuestra vida espiritual sea contaminada por lo que el mundo ha inventado.;We must not let our spiritual life be contaminated by what the world has made up.
El mundo ha inventado tantas cosas, y nosotros, inocente o ignorantemente, caemos en las trampas que el diablo tiende continuamente.;The world has made up so many things, and we, innocently or ignorantly, fall into the traps that the devil sets continuously.
Con las tendencias de moda, la tecnología, la ciencia y todo lo que cada día inventan los seres humanos, el diablo tiende muchas trampas.;With fashion trends, technology, science, and everything that each day is made up by human beings, the devil is setting many traps.
A veces nos preguntamos por qué hay estancamiento espiritual y por qué Dios no se manifiesta en nuestra vida personal.;Sometimes we ask ourselves why there is spiritual stagnation and why God is not manifesting in our personal life.
Eso ocurre porque no estamos viviendo rectamente ante el Señor, nos estamos contaminando con el mundo y sus vanidades.;That happens because we are not living uprightly before the Lord, we are contaminating ourselves with the world and its vanities.
Por eso Dios no nos bendice, no nos guía ni nos habla, y no cumple nuestras peticiones y deseos.;That is why God does not bless us, does not guide us or speak to us, and does not fulfill our petitions and desires.
Hoy vamos a hacer un breve resumen de lo que Dios quiere, especialmente en estos tiempos de ciertas celebraciones y días festivos.;Today we are going to go over a brief summary of what God wants, especially in these times of certain celebrations and holidays.
Lo más triste es que la gente dice que es cristiana, pero nunca se preocupó por saber qué quería Dios que hiciera.;The saddest part is that people say they are Christian, but they never worried about knowing what God wanted them to do.
Nunca nos preocupamos por conocer los reglamentos o mandamientos para un cristiano, y por eso la gente inventa diferentes celebraciones.;We never worried about knowing the regulations or commandments for a Christian, and that is why people make up different celebrations.
