Hermana, mi pregunta es si me permites. A menudo vemos que hay gente nueva en la iglesia.;Sister, my question is, if you will allow me. We often see that there are new people in the church.
¿Qué consejo podría darnos sobre cómo explicar, o enseñar, personas que son nuevas,;What advice could you give us on how to explain, or to teach, people who are new,
o que no han estado en la iglesia durante mucho tiempo, que todavía tienen una dificultad para comprender los servicios de adoración,;or who have not been in the church for a long time, who still have a difficulty understanding worship Services,
porque creen que en una pasiva, sin hablar o sin aplaudir, también podrían obtener el Espíritu Santo?;because they believe that in a passive, without speaking or without clapping, they could also obtain the Holy Spirit?
Hermana, si pudieras corregirme: hay algunas personas que dicen que para recibir el espíritu santo no es necesario abrir tu boca o orar,;Sister, if you could please correct me: there are some people who say that in order to receive the holy spirit it's not necessary to open your mouth or pray,
pero sólo Ponder y pensar que van a recibir el Espíritu Santo.;but just Ponder and think that they're going to receive the Holy Spirit.
Bueno, estoy seguro de que si Dios quiere dar el Espíritu Santo a una persona que piensa así,;Well, I'm sure if God wants to give the Holy Spirit to a person who thinks that way,
para rezar no tienes que abrir tu boca, para que puedas con tu mente;that to pray you don't have to open your mouth, that you can just with your mind
y con tus pensamientos lo hacen. Bueno, creo que si el Espíritu Santo descende a esa persona que no ha abierto su boca,;and with your thoughts do it. Well, I think if the Holy Spirit descends to that person who hasn't opened their mouth,
que no ora con su boca abierta, a quien no le gusta cantar, pero todo lo que hacen en sus pensamientos,;who doesn't pray with their mouth open, who doesn't like to sing, but everything they do in their thoughts,
y si el Espíritu Santo viene sobre ellos, los hará gritar.;and if the Holy Spirit comes upon them, it's going to make them scream.
Los hará gritar, porque esa es la manifestación del espíritu de Dios,;It's going to make them scream, because that's the manifestation of the spirit of God,
la manifestación del espíritu de Dios cuando viene a nosotros.;the manifestation of God's spirit when he comes to us.
La Sensación que sientes es que quieres saltar, quieres correr, gritar.;The Sensation that you feel is that you want to jump, you want to run, scream.
Eso es, esa es la manifestación. Así que hay algunas personas que tal vez se mueven mucho, ellos Rock back;That's it, that's the manifestation. So there are some people that maybe move a lot, they Rock back
y adelante, saltan, hacen que los bancos se muevan.;and forth, they jump, they cause the benches to move around.
Otros pueden gritar en voz alta porque esa es la manifestación,;Others may be scream out loud because that's the manifestation,
porque una porción tan pequeña de Dios viene a nuestra vida, nuestro cuerpo no puede resistirlo.;because such a small portion of God comes to our life, our body cannot resist it.
Es por eso que hay ese tipo de manifestación, y esa persona comienza a gritar;This is why there is that type of manifestation, and that person begins to scream
y orar y cantar con alegría, con alegría.;and to praying and to sing with joy, with gladness.
Esa es la manifestación del espíritu de Dios. Así que imagina el día de Pentecostés cuando el Espíritu Santo descendió,;That's the manifestation of God's spirit. So imagine on the day of Pentecost when the Holy Spirit descended,
parece que la Tierra se estremeció, como si hubiera un terremoto.;it seems as though the Earth shook, like there was an earthquake.
Había como un terremoto, la casa se estremece, como si hubiera un terremoto porque ese es el poder de Dios,;There was like an earthquake, the house is shook, like there was an earthquake because that is God's power,
el poder del Espíritu Santo viene, y así dice que todos comenzaron a hablar en lenguas;the power of the Holy Spirit comes, and so it says everyone started to speak in tongues
y profetizar. Empezaron a gritar, y por eso la gente comenzó a criticarlas,;and to prophesy. They began to scream, and this is why people began to criticize them,
diciendo que estaban borrachos, que estaban llenos de vino, porque esa era la manifestación.;saying that they were drunk, that they were full of wine, because that was the manifestation.
Así que es por eso que cuando vamos a los Servicios de adoración, cuando estamos en el servicio de adoración,;So this is why when we go to the worship Services, when we are in the worship service,
hablamos en voz alta, hablamos un poco más alto, oramos a Dios, lo alabamos con palabras hermosas,;we talk out loud, we talk a little bit louder, we pray to God, we praise him with beautiful words,
porque cuando llegue el Espíritu Santo estamos preparados. Porque si estás ahí;because when the Holy Spirit comes we're prepared. Because if you're just there
y tu boca está cerrada, entonces no vas a dar Reignaciones gratis al Espíritu Santo,;and your mouth is shut, then you're not going to give free Reigns to the Holy Spirit,
y debemos dar Reignaciones al Espíritu Santo orando;and we must give free Reigns to the Holy Spirit by praying
y hundiendo. Eso es. Así que sí hay muchas personas que critican esto, pero necesitamos enseñarles.;and sinking. That's it. So yes there are many people that criticize this, but we need to teach them.
Necesitamos enseñarles que en otras denominaciones, porque dicen, bueno,;We need to teach them that in other denominations, because they say, well,
en mi otra denominación la iglesia donde estaba antes no es así: el único que ora es el pastor,;in my other denomination the church where I was at before it's not like this: the only one who prays is the pastor,
y nadie más abre su boca. Así que les decimos, bueno, vale, está bien,;and no one else opens their mouth. So we tell them, well, okay, that's fine,
que puede estar allí nadie abre su boca;that may be over there no one opens their mouth
y ora, pero el Espíritu Santo se manifiesta aquí, no se manifiesta allí.;and prays, but the Holy Spirit manifests here, he doesn't manifest there.
Si se manifestase allí, entonces todos gritaban, gritaban, saltaban, harían todo tipo de cosas;Now if he manifested there, well then everyone would scream, shout, jump, would do all sorts of things
y danza, porque esa es la manifestación del Espíritu Santo.;and dance, because that is the manifestation of the Holy Spirit.
El espíritu de Dios nos hace moverse, no nos permite permanecer quietos.;The spirit of God makes us move, it doesn't allow us to remain still.
Así que esto es lo que debemos enseñar a la gente, no a criticar sino a buscar un Dios.;So this is what we must teach people, not to criticize but to seek a God.
Si quieren tenerlo, es mejor no criticar sino orar,;If they want to have him, it's better not to criticize but rather pray,
y un día tendrán esa experiencia, la sentirán, y entonces comprenderán mejor las cosas.;and one day they will have that experience, they will feel it, and they will then understand things better.
Gracias.;Thank you.
