Tengo una pregunta que me fue planteada.;I have a question here that was posed to me.
Muy bien. Es más una sugerencia que una pregunta porque hay hermanos;All right. It's more of a a suggestion than a question because there are brothers
y hermanas que publican en redes sociales. No vamos a prohibirle tener sus redes sociales o canales de comunicación.;and sisters who post on social media. We're not going to forbid you from having your social media or communication channels.
Es comprensible que desee utilizar esta tecnología moderna dada la época en que vivimos,;It's understandable that you would want to use this modern technology given the times we live in,
pero es importante ser prudente y cuidadoso. Creo que hay quienes no han sido entregados;but it's important to be wise and careful. I believe there are those who haven't been fully delivered
y por eso hacen estas cosas sin sabiduría. Suben videos relacionados con la iglesia.;and that's why they do these things without wisdom. They upload videos related to the church.
Como conocen hermanos y hermanas, la iglesia tiene sus propias redes sociales, sus propios canales, ¿verdad?;As you know brothers and sisters, the church has its own social media, its own channels, right?
La iglesia tiene sus canales y mantiene a todos los hermanos;The church has its channels and it keeps all the brothers
y hermanas informadas acerca de las enseñanzas, estudios bíblicos, Q.As y probablemente algunas actividades en la iglesia.;and sisters informed about teachings, Bible studies, Q&As and probably some activities in the church.
La iglesia hace estas cosas, pero hay personas que suben lo que la iglesia comparte en sus propios canales o cuentas.;The church does these things, but there are people who upload what the church shares on their own channels or accounts.
No sé por qué lo hacen. Algunos probablemente quieren ganar dinero o ganar seguidores,;I don't know why they do it. Some probably want to make money or gain followers,
pero por favor no use el contenido de la iglesia porque esto debe ser respetado. También toman fotos para ir a la iglesia.;but please don't use the church's content because this should be respected. They also take photos to go to church.
Dicen: 'Mira, esta es mi foto. Vea cómo me vesto hoy para ir a la iglesia.;They say, 'Look, this is my photo. See how I dress today to go to church.
Mira cómo estoy vestida para el servicio de enseñanza. Voy a este lugar;See how I'm dressed for the teaching service. I'm going to this place.'
Así que empiezan a crear una narración de lo que están haciendo;So, they start to create a narrative of what they're doing
y compartirlo en sus redes sociales para que sus seguidores lean;and share it on their social media for their followers to read
y ver. Esto pone un mal ejemplo porque entonces todos comienzan a enviar videos de cosas que realmente no valen la pena;and see. This sets a bad example because then everyone starts sending videos of things that really aren't worth it
y que tal vez dañar su vida espiritual también. Te vuelves codicioso, orgulloso, pretencioso, queriendo mantener un gran seguimiento.;and that perhaps harm your spiritual life as well. You become greedy, proud, pretentious, wanting to maintain a large following.
Así que, no utilices los recursos de la iglesia, te ruego que hagas estas cosas que estás haciendo.;So, don't use the church's resources, I beg you, to do these things you're doing.
Y también por ejemplo que hay muchas tareas que la iglesia lleva a cabo;And also for example that there are many tasks that the church carries out
y los copia. Esas personas que hacen esto lo copian;and you copy them. Those people who are doing this they copy it
y publicarlo en su canal como si fuera algo nuevo cuando no lo es.;and post it on their channel as if it were something new when it's not.
También comienzan a compartir explicaciones y dar explicaciones a las personas sobre temas o enseñanzas bíblicos, aunque ya se les ha dado;They also start sharing explanations and giving explanations to people about biblical topics or teachings even though they have already been given
y explicado por los canales de la iglesia. Así que por favor, algunas personas han sido amontonadas sobre esto;and explained by the church's channels. So please some people have been admonished about this
y se han molestado y han dejado la iglesia. Como dije, no se han convertido.;and they've gotten upset and left the church. As I said, they haven't converted.
No son entregados porque se molestan y se van. Entonces, ¿por qué están usando el trabajo de la iglesia,;They aren't delivered because they get upset and leave. So why are they using the church's work,
haciendo estas cosas que no deberían hacerse y usando todo el material,;doing these things that shouldn't be done and using all the material,
todo lo que pertenece a la iglesia para hacerlo por su cuenta, pero también tocan la información.;everything that belongs to the church to do it on their own, but they also twist the information.
Y hay muchas personas que se confunden. Muchas personas están confundidas por tanto contenido que ponen.;And there are many people who get confused. Many people are confused by so much content they put out.
Eso es lo que ha pasado. Lo digo aquí. Sé que en muchos países escucharán esta información porque Internet;So that's what's been happening. I'm saying it here. I know that in many countries they will hear this information because the internet
y toda esta tecnología es mundial. Así que hermanos y hermanas, por favor sean prudentes, sed sabios,;and all this technology is worldwide. So brothers and sisters, please be prudent, be wise,
respeta lo que la iglesia dice. Y tú, si tienes tus canales, sé creativo,;respect what the church puts out. And you, if you have your channels, be creative,
haz tus propias cosas a tu manera, crea tu propio contenido,;do your own things in your own way, create your own content,
pero no incluyas a la iglesia en esto porque también hay muchos incorrectos,;but don't include the church in this because there's also a lot of incorrect,
información retorcida que no se alinea con lo que estamos enseñando. Por favor, te pido que no hagas esto.;twisted information that doesn't align with what we're teaching. So please, I ask you to refrain from doing this.
Y si alguien está haciendo esto y se molesta, es porque no se han convertido realmente.;And if someone is doing this and gets upset, it's because they haven't truly converted.
Así que debemos orar a Dios y evitar ser vanidosos.;So we must pray to God and avoid becoming vain.
Había una persona en la puerta grabándose diciendo: "Mira, es mi turno hoy.;There was a person at the door recording themselves saying, 'Look, it's my turn today.
Estoy aquí en la puerta para saludar a la gente. Y luego enviar el video;I'm here at the door to greet people.' And then sending the video
y mensaje a sus seguidores. Esto no conduce a nada bueno.;and message to their followers. This doesn't lead to anything good.
Sólo produce vanidad, orgullo y pretensión. A Dios no le gusta eso,;It only produces vanity, pride, and pretention. God doesn't like that,
y él quita bendiciones por ello.;and he takes away blessings because of it.
