Hermana, buenas noches. Dios te bendiga. Quería hacer una pregunta sobre la Biblia.;Sister, good evening. God bless you. I wanted to ask a question about the Bible.
En 1 Timoteo 5 versículo 22, dice: 'No pongas manos sobre nadie apresuradamente,;In 1 Timothy 5 verse 22, it states, 'Do not lay hands on anyone hastily,
ni compartir los pecados de otras personas. Mantente puro". Mi pregunta es sobre la primera parte de este versículo que dice:,;nor share in other people's sins. Keep yourself pure.' My question is about the first part of this verse that says,
'No pongas manos sobre nadie apresuradamente.' refiriéndose a lo que Dios siempre nos dice en las profecías bíblicas.;'Do not lay hands on anyone hastily.' referring back to what God always tells us in the Bible prophecies.
He encontrado gente de otras denominaciones que leen la Biblia en versiones modernas más contemporáneas.;I've come across people from other denominations who read the Bible in more contemporary modern versions.
En la Traducción de Nueva Vida, este mismo versículo se expresa en términos de nombrar a un líder.;In the New Living Translation, this same verse is expressed in terms of appointing a leader.
Dice: "Nunca tengas prisa en nombrar a un líder de la iglesia";It says, 'Never be in a hurry about appointing a church leader.'
Mi pregunta es sobre eso. Bueno, ese cambio de vocabulario está completamente equivocado porque no tiene el mismo significado.;My question is about that. Well, that change in vocabulary is completely wrong because it doesn't carry the same meaning.
¿Cómo puede ser lo mismo cuando dice no poner manos a nadie apresuradamente?;How can it be the same when it says do not lay hands on anyone hastily?
La Biblia enseña sobre el don de la imposición de manos.;The Bible teaches about the gift of laying on of hands.
Está en Corintios. Había y sigue existiendo el don de ponerse de manos para recibir bendiciones.;It's in Corinthians. There was and still is the gift of laying on of hands to receive blessings.
Y la Biblia dice que pondrán manos sobre los enfermos;And the Bible says they will lay hands on the sick
y sanarán. Así que el Señor estableció eso. ¿Quién puede ahora usar el lenguaje moderno cambiar esa frase?;and they will heal. So the Lord established that. Who can now using modern language change that phrase?
No pueden cambiarlo. Cuando dice que no ponga manos a nadie apresuradamente,;They can't change it. When it says do not lay hands on anyone hastily,
se le dijo a Timothy por una razón. Timoteo era un profeta, un apóstol, un discípulo.;it was said to Timothy for a reason. Timothy was a prophet, an apostle, a disciple.
Y en esa ciudad donde predicaban, la gente era muy mala.;And in that town where they were preaching, the people were very bad.
personas pecaminosas que decían ser judíos pero sólo en nombre porque seguían pecando,;sinful people who claimed to be Jews but only in name because they kept on sinning,
haciendo cosas contra la voluntad de Dios y fueron contaminadas por las naciones.;doing things against God's will and were contaminated by the nations.
Así que tal vez había alguien que no merecía el beneficio.;So perhaps there was someone who didn't deserve the benefit.
Tal vez una persona malvada Timothy reconoció. Así que la instrucción no era poner manos sobre él porque lo que él necesita es el castigo de Dios por su pecado;Maybe a wicked person Timothy recognized. So the instruction was don't lay hands on him because what he needs is God's punishment for his sin
y su mala vida ya que no quiere convertir, no quiere buscar a Dios,;and his bad life since he doesn't want to convert, doesn't want to seek God,
y no quiere hacer la voluntad del Señor. El Señor estaba molesto.;and doesn't want to do the Lord's will. The Lord was upset.
No le pongas las manos encima porque no merece una bendición.;Don't lay hands on him because he doesn't deserve a blessing.
Esa fue la advertencia. Sé sabio. Tener discernimiento y observar al pueblo en ese lugar.;That was the warning. Be wise. Have discernment and observe the people in that place.
porque era una instrucción para ese tiempo y situación dado a Timoteo donde había gente que no merecía las bendiciones de Dios.;because it was an instruction for that particular time and situation given to Timothy where there were people who didn't deserve God's blessings.
Las personas que hicieron cosas muy malvadas, no querían estar en buena posición con Dios;People who did very evil things, didn't want to be in good standing with God
y eran un mal ejemplo o un obstáculo para los creyentes. Por eso el apóstol dijo: 'No seas precipitado.;and were a bad example or a hindrance to the believers. That's why the apostle said, 'Don't be hasty.
Primero mira a quién vas a poner manos encima;First look at who you're going to lay hands on.'
Pero eso fue algo para él en ese lugar.;But that was something for that moment for him in that place.
Hoy en nuestra vida espiritual, el Señor nos enseña y él mismo descarta,;Today in our spiritual life, the Lord teaches us and he himself discards,
elimina o castiga a los que se niegan a someterse a su voluntad. Pero aquí estamos hablando de traducción.;removes or punishes those who refuse to submit to his will. But here we're talking about translation.
Dices que las nuevas Biblias en el lenguaje moderno lo hacen como nunca tener prisa en nombrar a un líder de la iglesia.;You say the new Bibles in modern language render it as never be in a hurry about appointing a church leader.
Incluso se contradicen allí porque ¿quién nombra a un líder? Los líderes nacen, no son hechos.;They even contradict themselves there because who appoints a leader? Leaders are born, not made.
Un líder es una persona que nace con ese don, esa dote, esa habilidad.;A leader is a person who is born with that gift, that endowment, that ability.
Dios es el que los hace. Puedes aconsejar a alguien.;God is the one who makes them. You can give someone some advice.
Diles que si quieren liderar un grupo, necesitan cumplir ciertas condiciones,;Tell them that if they want to lead a group, they need to meet certain conditions,
pero eso no los convierte en un líder. Dios es el que designa gente;but that doesn't make them a leader. God is the one who appoints people
y les da dones espirituales. ya sea para mujeres o hombres, les dice;and gives them spiritual gifts. whether to women or men, he tells them
y los equipa, vas a ser profeta o evangelista o maestro.;and equips them, you're going to be a prophet or an evangelist or a teacher.
Esa gente emerge con los dones que Dios les ha dado.;Those people emerge with the gifts God has given them.
Pero hoy en muchas denominaciones, las personas son designadas por hombres.;But today in many denominations, people are appointed by men.
Ustedes son un apóstol, dicen en ellos, dándoles el título cuando no tienen nada de apóstol.;You are an apostle, they say in they say, giving them the title when they have nothing of an apostle.
El don de ser apóstol es dado por Dios, no por el hombre.;The gift of being an apostle is given by God, not man.
Y cuando los hombres lo hacen, todo sale mal. Al cambiar frases;And when men do it, everything turns out wrong. By changing phrases
y vocabulario, distorsionan el pensamiento de la gente. Mi pregunta fue también sobre cómo podemos presentar razones sonoras o apoyar esto.;and vocabulary, they distort people's thinking. My question was also about how can we present sound reasons or support this.
Así que simplemente no uses esa Biblia. Usa el que el Señor nos reveló,;So simply don't use that Bible. Use the one the Lord revealed to us,
la lluvia de Valera de 1960 en español y la nueva versión de King James en inglés.;the Rain of Valera of 1960 in Spanish and the New King James Version in English.
El Señor dio esa revelación a algunas hermanas, diciéndoles que era la Biblia que debíamos usar.;The Lord gave that revelation to some sisters, telling them that was the Bible we should use.
No vamos a comprar estas Biblias modernas con su lenguaje alterado porque los seres humanos están cambiando la palabra de Dios;We're not going to buy these modern Bibles with their altered language because human beings are changing God's word
y quitar el significado de las frases. Cuando hacen eso, causan contradicciones.;and taking away the meaning of the phrases. When they do that, they cause contradictions.
Ellos cambian un versículo aquí, pero más tarde o más temprano aparece el mismo tema;They change a verse here, but later on or earlier the same topic appears
y la enseñanza es diferente. Así que termina contradiciéndose.;and the teaching is different. So, it ends up contradicting itself.
Y a menos que reescriban toda la Biblia, cambiando cada frase relacionada, sus cambios nunca serán consistentes.;And unless they rewrite the entire Bible, changing every related phrase, their changes will never be consistent.
Es como aquellos que dicen que el Señor Jesucristo no es Dios porque aquí dice que es un hombre.;It's like those who say the Lord Jesus Christ isn't God because here it says he's a man.
Pero si leemos toda la Biblia, vemos cómo Dios prometió enviar al Mesías, el Salvador,;But if we read the whole Bible, we see how God promised to send the Messiah, the Savior,
con características específicas. Y eso aparece en los profetas y en muchos otros lugares.;with specific characteristics. And that appears in the prophets and in many other places.
Así que no puedes cambiar la Biblia y darle otro significado sin causar confusión;So, you can't change the Bible and give it another meaning without causing confusion
y la gente líder se extravía. La gente a menudo lee la Biblia como si fuera sólo una historia, sin prestar atención.;and leading people astray. People often read the Bible as if it were just a story, without paying attention.
Pero aquellos que realmente quieren estudiar la palabra de Dios y aprender sobre él serán engañados por estas distorsiones.;But those who truly want to study God's word and learn about him will be misled by these distortions.
No creo que el Señor permita que las traducciones simplificadas modernas se desvíen del verdadero significado de su palabra porque siempre ha dicho que su iglesia crecerá.;I don't believe the Lord will allow modern overly simplified translations to deviate from the true meaning of his word because he has always said that his church will grow.
Su palabra alcanzará su objetivo y el mundo será evangelizado.;His word will reach its goal and the world will be evangelized.
Esas nuevas Biblias fracasarán. A la gente no les gustará y dejarán de comprarlos.;Those new Bibles will fail. People won't like them and they'll stop buying them.
Debemos aferrarnos a la Biblia que siempre hemos leído porque a través de ella hemos recibido dones espirituales, promesas de Dios, milagros,;We should stick to the Bible we've always read because through it we have received spiritual gifts, God's promises, miracles,
y señales. Mientras tanto, las iglesias que usan estas Biblias modernas carecen de la presencia de Dios.;and signs. Meanwhile, churches that use these modern Bibles lack God's presence.
