Hermana Extranjera, mi pregunta es en Segundo Timoteo Capítulo 2 Verso 3, donde dice:,;Foreign sister, my question is in Second Timothy Chapter 2 Verse 3, where it says,
'Por lo tanto, debes soportar la penuria como un buen soldado de Jesucristo.';'You therefore must endure hardship as a good soldier of Jesus Christ.'
Sabemos que no sólo los justos pero injustos en el mundo existen y pasan por la adversidad.;We know that not only the just but unjust in the world exist and go through adversity.
Pero mi pregunta sobre este versículo es, ¿es necesario tener sufrimiento para acercarse a Dios o para fortalecernos en el camino del Señor cuando la mayoría de nosotros llegamos aquí por primera vez?;But my question regarding this verse is, is it necessary to have suffering to become closer to God or to strengthen ourselves in the path of the Lord when most of us arrived here for the first time?
Y digo esto porque me pasó a mí: Cuando llegué aquí por primera vez,;And I say this because it happened to me: When I arrived here for the first time,
llegamos con tribulaciones. y necesidades, y por eso buscamos a Dios para encontrar una respuesta.;we arrive with tribulations. and needs, and this is why we seek God to find a response.
Así que cuando dice que es necesario soportar una penuria como un buen soldado de Jesucristo,;So when he says it's necessary to endure a hardship as a good soldier of Jesus Christ,
¿Por qué existe este sufrimiento? Bueno, eso es más tarde, esa dificultad, cuando dices que llegamos a la iglesia con problemas,;why does this suffering exist? Well, that's later, that hardship, when you say we arrive to the church with problems,
tribulación, amargura y Dios lo quita y nos quedamos en la iglesia.;tribulation, bitterness and God takes that away and we stay in church.
Dios lo hace, se lo quita y somos felices.;Well God does, he takes that away and we're happy.
Dios comienza a hablar con nosotros, y lo que comienza a formar es la esperanza;God begins to speak to us, and what begins to form is hope
y confiar en Dios y esperar al Señor y decir:,;and trust in God and waiting on the Lord and saying, okay,
bueno, ahora tengo a alguien que ayude a resolver mi vida. Eso es una cosa,;well I now have someone to help resolve my life. That's one thing,
y cuando le dice a Timoteo que necesita sufrir dificultades, bueno eso es ahora como predicador, evangelista, un profeta,;and when he tells Timothy that he needs to endure hardship, well that's now as a preacher, evangelist, a prophet,
porque el diablo por supuesto iba a perseguirlo por predicar la palabra.;because the devil of course was going to persecute him for preaching the word.
Así que las dificultades eran ahora de un tipo diferente, no quizás las que tenía al principio cuando se convirtió por primera vez al Señor.;So the hardships were now of a different kind, not perhaps the ones that he had at the beginning when he first converted to the Lord.
pero ahora el diablo va tras él para tratar de perseguirlo y hacerle daño;but now the devil goes after him to try and persecute him And harm him
y hacerle sufrir. Pero esta dificultad ahora eres capaz de soportar porque ya sabes que al orar a Dios me ayudará.;and make him suffer. But this hardship you are now able to withstand because you already know that by praying to God he will help me.
Sé que si voy a hacer que el Señor me hable, me habla y me conforta;I know that if I go to have the Lord speak to me he speaks and comforts me
y me dice que va a ayudar a resolver las cosas, va a proteger;and he tells me he's going to help resolve things, he's going to protect
y cuídame, así que confío en eso. Espero al Señor,;and guard me, so I trust in that. I wait on the Lord,
así que ves que la dificultad ya no es tan difícil o difícil porque tenemos a alguien en quien confiar;so you see that hardship is no longer so hard or difficult because we have someone to trust in
y ayudar con esas dificultades. Pero la persecución viene del diablo siendo envidioso;and help with those hardships. But the persecution comes from the devil being envious
y no quiere que busquemos a Dios o amemos a Dios.;and he does not want us to seek God or love God.
Por eso nos persigue. Pero como sabemos, eso rezando;This is why he persecutes us. But as we know, that by praying
y confiar en Dios que es nuestro arma, las cosas son diferentes.;and trusting God that is our weapon, things are different.
Así que no es que estamos obligados a, cuando nos convertimos al Señor, debemos pasar por dificultades.;So it's not that we are obligated to, when we convert to the Lord, we must go through hardships.
No, son los ataques del enemigo y la persecución. Pero tengo a Dios;No, it's the attacks of the enemy and persecution. But I have God
y confío en él. Dios me ayudará y eso es diferente.;and I trust in him. God will help me and that's different.
Antes de conocer a Dios, cuando nos enfrentamos a todo ese sufrimiento y tribulación, la gente era amarga: lloraban,;Before knowing God, when we faced all that suffering and tribulation, people were bitter: they would cry,
ellos tomarían su vida, tomarían veneno, muchas otras cosas.;they would take their life, they would take poison, a lot of other things.
Eso es lo que la gente haría porque no tenían a nadie para ayudarlos a resolver sus problemas o para consolarlos,;That's what people would do because they had no one to help them resolve their problems or to comfort them,
no había nadie. Así que cuando ahora conoces a Dios sabemos que Dios nos ayuda;there was no one. So when you now know God we know God helps us
y así las cosas son diferentes. Ya no sufrimos porque el Señor es quien nos va a ayudar,;and so things are different. We no longer suffer because the Lord is who is going to help us,
y sigo orando a él y pidiéndole hasta que el Señor me ayude;and I continue praying to him and asking him until the Lord helps me
y eso es todo. Así que las dificultades vinieron de predicar la palabra del Señor,;and that's it. So the hardships came from preaching the word of the Lord,
pero hoy porque venimos a la iglesia el diablo es envidioso de ti;but today because we come to church the devil is envious of you
y trata de hacerte daño porque vienes a la iglesia y buscas al Señor, pero tenemos oración;and tries to harm you because you're coming to the church and seeking the Lord, but we have prayer
y tenemos al Señor.;and we have the Lord.
