Hermana María Luisa, estoy muy feliz de estar aquí en su presencia y quiero hacerle una pregunta.;Sister Maria Louisa, I am very happy to be here in your presence and I want to ask you a question.
Basada en el primer libro de Juan, versículos 5 al 9.;Based on the first book of John, verses 5 to 9.
Mi pregunta es: ¿qué significa tener comunión con él y también qué significa tener comunión entre nosotros?;My question is, what does it mean to have fellowship with him and also what does it mean to have fellowship with each other?
Por favor explíquenos, hermana, qué significa tener comunión con Dios. Esto es estar con Dios, vivir con él, caminar con él.;Please explain to us, sister, what that means to have fellowship with God. This is to be with God, live with him, walk with him.
¿Y cómo sabemos que estamos caminando con Dios? ¿Cómo sabemos que tenemos a Dios?;And how do we know that we are walking with God? How do we know that we have God?
Porque nuestras obras, nuestros hechos nos dicen que estamos con él, porque aprendimos su palabra, creímos en él.;Because our works, our deeds tell us that we are with him, because we learned his word, we believed in him.
Vimos o estamos viendo sus mandamientos y nos hemos apartado, y al apartarnos entonces él nos ha dado su Espíritu Santo.;We saw or are seeing his commandments and we have set ourselves apart, and by setting ourselves apart then he has given us his Holy Spirit.
Nos hace promesas, bueno, se manifiesta de manera extraordinaria en nuestras vidas.;He makes promises to us, well, he manifests himself in an extraordinary way in our lives.
Nos habla a través de sueños, visiones, revelaciones, profecía, hace milagros, ha sanado.;He speaks to us through dreams, visions, revelations, prophecy, performs miracles, has healed.
Ha dado paz y felicidad a las personas. Eso nos hace saber que estamos caminando con Dios, que tenemos a Dios.;Has given peace and happiness to people. That makes us know that we are walking with God, that we have God.
Así que cuando estoy con Dios, siempre estoy tratando de agradarle en todo, de tener misericordia de las personas.;So when I am with God, I am always trying to please him in everything, to have mercy on people.
Compasión, amar a las personas, ayudar a las personas, orar por ellas. Entonces cuando hago eso, también es tener comunión.;Compassion, love people, help people, pray for them. Then when I do that, it is also to have fellowship.
Todos estamos en comunión porque creemos en lo mismo. Estamos creyendo en un Dios que se manifiesta en espíritu.;We are all in fellowship because we believe in the same thing. We are believing in a God who manifests himself in spirit.
Estamos creyendo en el Dios del que habla la Biblia. Estamos aquí buscándolo, aprendiendo. Eso es comunión, eso es tener comunión.;We are believing in the God the Bible speaks of. We are here seeking him, learning. That is fellowship, that is having fellowship.
Creo en lo que tú crees y sabes por qué creo. También creo en las cosas en las que tú crees porque todos estamos aquí.;I believe in what you believe and you know why I believe. I also believe in the things that you believe in because we are all here.
Tenemos comunión porque mis conceptos son tus conceptos. Mi manera de amar a Dios es la misma manera en que tú amas a Dios.;We have fellowship because my concepts are your concepts. My way of loving God is the same way you love God.
Mi deseo de agradar a Dios es también tu deseo de agradar a Dios. Eso es comunión, eso es comunión.;My desire to please God is your desire to please God as well. That is fellowship, that is fellowship.
Que estamos de acuerdo, estamos de acuerdo en muchas cosas. Tenemos comunión, nos comunicamos mutuamente. Eso es todo. Nos comunicamos mutuamente.;That we agree, we agree on many things. We have fellowship, we communicate mutually. That's it. We communicate mutually.
Tú quieres seguir a Dios, yo también. Esa es la comunión.;You want to follow God, me too. That is the fellowship.
Y luego es lo mismo con Dios. El Señor quiere que seamos buenos y justos, ¿y por qué? Porque él es bueno y justo. Esa es la comunión.;And then it is the same thing with God. The Lord wants us to be good and just, and why? Because he is good and just. That is the fellowship.
Ahí es donde nos comunicamos y tenemos el mismo sentimiento, el mismo pensamiento, el mismo amor.;That's where we communicate and we have the same feeling, the same thought, the same love.
El mismo amor que Dios tiene por todos, bueno, entonces yo también debería sentirlo por ti.;The same love that God has for everyone, well, then I should also feel it for you.
Eso es lo que se llama tener comunión con Dios y comunión entre nosotros.;That is what is called having fellowship with God and fellowship with each other.
