Y esta noche, vamos a aprovechar el tiempo.;And this evening, we're going to be taking full advantage of the time.
Y vamos a reflexionar sobre la palabra del Señor.;And we're going to reflect upon the word of the Lord.
Y vamos a recordar lo que Dios nos enseña en la Biblia;And we're going to be remembering what God teaches us in the Bible
y lo que Dios ha enseñado desde el principio a la humanidad.;and what God has taught from the very beginning to mankind.
Él enseñó a su pueblo y en la antigüedad era el pueblo de Israel.;He taught his people and in antiquity it was the people of Israel.
Y hoy nos enseña. Y el Señor nos da sus enseñanzas, sus mandamientos,;And today he teaches us. And the Lord gives us his teachings, his commandments,
y necesitamos recordarlos siempre. Y por eso necesitamos estar leyendo la Biblia constantemente.;and we need to always remember them. And this is why we need to be reading the Bible constantly.
Necesitamos leer la Biblia para aprender para que nunca olvidemos lo que Dios quiere que hagamos para que podamos agradarle.;We need to read the Bible to learn so that we never forget what God wants us to do so that we are able to please him.
Así que siempre debemos leer la Biblia y dejar de lado el tiempo para leer la Biblia.;So we always ought to read the Bible and set aside time to read the Bible.
Debemos leer la Biblia de principio a fin. Es importante leer Génesis.;We must read the Bible from beginning to end. It is important to read Genesis.
Es importante leer Éxodo y Levítico, Números, Deuteronomio, los Reyes, Crónicas, Jueces, Josué, Samuel.;It is important to read Exodus and Leviticus, Numbers, Deuteronomy, the Kings, Chronicles, Judges, Joshua, Samuel.
Eso es importante porque allí encontramos todos los mandamientos del Señor.;That's important because there we find all of the Lord's commandments.
La palabra de Dios está ahí. Lo que Dios había ordenado al pueblo de Israel;The word of God is there. What God had ordered the people of Israel
y lo que nos ordena hoy también. cosas que debemos hacer;and what he orders us today as well. things that we should do
y mantenernos y no debemos dejarnos contaminar... nuestras vidas espirituales están contaminadas por lo que el mundo ha inventado.;and keep and we should not let ourselves be contaminated uh our spiritual lives be contaminated by what the world has made up.
El mundo ha inventado tantas cosas. La humanidad ha inventado tantas cosas;The world has made up so many things. Mankind has made up so many things
y nosotros inocentemente o tal vez ignorante caemos en la trampa.;and we innocently or maybe perhaps ignorantly we fall into the trap.
Cometemos el error de caer en esas trampas que el diablo establece continuamente con las diferentes tendencias de moda,;We make the mistake of falling in those traps that the devil sets continuously with the different fashion trends,
con tecnología, con ciencia, con todo lo que cada día está siendo formado por seres humanos.;with technology, with science, with everything that each day is being made up by human beings.
allí el diablo está poniendo muchas trampas para nuestra vida espiritual para que vivamos estancados;there the devil is setting many traps for our spiritual life so that we live stagnant
y no somos capaces de crecer, prosperar y progresar espiritualmente;and we are not able to grow and prosper and progress spiritually
y a veces nos preguntamos bien por qué hay estancamiento espiritual por qué es que Dios no se manifiesta en nuestra vida personal;and sometimes we ask ourselves well why is there spiritual stagnation why is it that God is not manifesting in our personal life
y eso es lo que queremos que Dios se manifieste en nuestras vidas o que Dios escuche nuestras oraciones rápidamente;and that is what we would like for God to manifest in our lives or for God to hear our prayers quickly
y que lo que le pedimos en oración y lo que deseamos es que Dios cumpla rápidamente la respuesta;and that what we ask him in prayer and what we desire is for God to quickly fulfill answer
y respuesta Y luego vemos que Dios no lo hace,;and reply And then we see God doesn't do it,
