Personalmente, me gustaría decirle que amo profundamente todo lo relacionado con el Señor.;Sister, personally, I would like to tell you that I love everything related to the Lord very much.
Amo profundamente sus instituciones, como la iglesia, la Fundación Internacional María Luisa de Moreno y el partido político colombiano Mira.;I deeply love his institutions such as the church, the Maria Luisa de Moreno International Foundation, and the Colombian political party Mira.
Tengo un amor muy especial por Mira, y quisiera preguntarle cómo podemos pedirle a Dios que toque los corazones de las personas.;I have a very special love for Mira. So, I would like to ask you, sister, how can we ask God to touch people's hearts.
Queremos que la gente entienda el trabajo relacionado con Mira, especialmente en Colombia, donde se acercan las elecciones.;We want people to understand the work related to Mira, especially in Colombia, as elections approach.
Tenemos voluntarios en nuestras sedes que quieren compartir más sobre este trabajo, pero vemos hermanos que a veces no se detienen a escuchar.;We have volunteers in our locations who want to share more about this work, but we see brothers and sisters who sometimes do not stop to learn about it.
La gente generalmente tiende a alejarse de la política por experiencias desagradables con líderes y partidos políticos.;People generally have a tendency to shy away from politics. Many have had unpleasant experiences with leaders and with political parties.
Desafortunadamente, estas cicatrices también están presentes en nuestra congregación, ese miedo y esa incredulidad.;Unfortunately, these scars are also present in our congregation, this fear and this disbelief.
La gente dice que no cree en eso, que es un pecado, y tiene el concepto equivocado de que la política y la religión no pueden mezclarse.;People say they do not believe in that, that it is a sin, and they have a mistaken concept that politics and religion cannot be mixed.
Este concepto es erróneo porque la política y la religión siempre han ido de la mano desde Adán y Eva.;This concept is mistaken because politics and religion have always gone hand in hand since Adam and Eve.
Desde el tiempo de Adán y Eva, cuando comenzó la humanidad, había comunidades, y en cada comunidad había un gobernante que era rey.;From the time of Adam and Eve, when humankind began, there were communities, and in each community there was a ruler who was a king.
Ellos eran quienes juzgaban y servían en todos los roles: como sacerdotes, como reyes, como patriarcas y como gobernantes.;They were the ones who judged and served in all roles as priests, as kings, as patriarchs, as rulers.
Cuando Dios formó al pueblo de Israel, les dio sus leyes y dijo que quien no las cumpliera sería castigado.;When God formed the people of Israel, he gave them their laws, and said that whoever did not comply would be punished.
Con el tiempo, la sociedad decidió separar la religión de la política, aunque siempre habían gobernado juntas en unidad.;Over time, society decided to separate religion from politics, even though they had always governed together in unison.
En nuestro caso, sin buscarlo y siendo un poco escépticos, el Señor comenzó a hablarnos y a revelarnos que quería que trabajáramos en la esfera política.;In our case, without seeking it, the Lord began to speak to us and reveal that he wanted us to work in the political sphere.
Dios quería demostrar honestidad a las personas, al menos en este país, mostrando que hay personas honestas que trabajan con amor por los demás.;God wanted to demonstrate honesty to people, at least in this country, showing that there are honest people who work with love for others.
Por obediencia, seguimos adelante y trabajamos diligentemente, y hemos visto resultados verdaderos.;Out of obedience, we press on and work diligently, and we have truly seen results.
Los otros líderes y partidos políticos han notado cómo nuestro partido es responsable, serio y honesto, sin buscar el dinero ni el soborno.;The other political parties have noticed how our party is responsible, serious, and honest, not in it for the money or bribery.
Dios no quiere que las personas lleguen a posiciones altas solo para ganar millones. Quiere mostrar honestidad e integridad en los seres humanos.;God does not want people to reach high positions just to earn millions. He wants to show honesty and integrity in human beings.
En la iglesia, personas de todos los ámbitos llegan con todo tipo de creencias, muchas buscando solo profecía o bendiciones de Dios.;Here in the church, people from all walks of life come with all kinds of beliefs, many seeking only prophecy or God's blessings.
Cuando Dios habla, enseña o da instrucciones, muchos ignoran el llamado a obedecerle, pero nosotros sabemos que debemos obedecer a Dios.;When God speaks, teaches, or gives instructions, many ignore the call to obey him, but we know we must obey God.
Si todos los creyentes pensaran así y lo entendieran de esta manera, recibirían beneficios y bendiciones de Dios en muchos aspectos de sus vidas.;If all believers thought this way and understood it this way, they would receive benefits and God's blessings in many aspects of their lives.
Pero por negligencia, muchos dicen que siempre han estado con tal o cual partido y que nadie los cambiará, y luego vienen a pedir profecía.;But because of negligence, many say they have always been with a certain party and won't change, and then they come to church asking for prophecy.
Dios observa eso en la persona y no le da sus bendiciones porque son tercos, rebeldes, incrédulos o de corazón endurecido.;God is watching that in the person and does not give them his blessings because they are stubborn, rebellious, unbelieving, or hard-hearted.
No se preocupe, hermana. No sufra ni se frustre por eso, porque es Dios quien hace que las cosas sucedan al final.;So do not worry, sister. Do not suffer or feel frustrated about it because it is God who brings things to pass in the end.
Dios es quien establece su voluntad. Si Dios quiere que ganen, los deja ganar. Si no, permanecerán estancados, pero se hará la voluntad de Dios.;God is the one who establishes his will. If God wants them to win, he allows it. If not, they remain stagnant, but God's will is done.
Lo más hermoso y maravilloso es que obedecemos y siempre nos alineamos con Dios, diciéndole: Señor, si esto es de tu agrado, te apoyaré con mi voto.;The most beautiful thing is that we obey and align ourselves with God, saying: Lord, if this is to your liking, I will support it with my vote.
Dios se complacerá y dirá: Esta persona es obediente en las cosas pequeñas, así que también lo será en las grandes, y la bendeciré grandemente.;God will be pleased and say: This person is obedient in the small things, so they will also be obedient in the big things, and I will bless them greatly.
Debemos aprender que cuando Dios habla y da órdenes, debemos seguirlas al pie de la letra para tener éxito en nuestra vida espiritual y material.;We must learn that when God speaks and gives orders, we must follow them to the letter to succeed in our spiritual and material lives.
