Tengo una pregunta en 1 Corintios 11 13. En 1 Corintios 11 13, sí, usted puede leer.;I have a question in First Corinthians 11 13. In First Corinthians 11 13, yes, you may read.
Gracias, hermana. Juzgad entre vosotros: ¿Es apropiado que una mujer ore a Dios con su cabeza descubierta?;Thank you, sister. Judge among yourselves: is it proper for a woman to pray to God with her head uncovered?
Ni siquiera la naturaleza misma te enseña que si un hombre tiene pelo largo es un deshonor para él,;Does not even nature itself teach you that if a man has long hair it is a dishonor to him,
pero si una mujer tiene pelo largo es una gloria para ella,;but if a woman has long hair it is a glory to her,
¿porque se le da el pelo para cubrirla?;for her hair is given to her for a covering?
Hermana, mi pregunta es: a veces hay algunas hermanas que vienen a la iglesia de mi país,;Sister, my question here is: sometimes there are some sisters who come to church from my country,
y dicen que no pueden orar sin cubrir sus cabezas, así que me gustaría que lo esclarecieras.;and they say that they cannot pray without covering their heads, so I would like for you to clarify it.
Vale. Bueno, tal vez es porque no han tenido la enseñanza, la guía, o la presencia del Espíritu Santo,;Okay. Well, perhaps it's because they have not had the teaching, the guidance, or the presence of the Holy Spirit,
que es lo que disfrutamos hoy, y Dios no les ha enseñado,;which is what we enjoy today, and God has not taught them,
así que se han limitado a hacer cosas literalmente. Por eso la Biblia allí hay miles de religiones que se derivan de la Biblia,;so they have limited themselves to doing things literally. This is why the Bible there there are thousands of religions that are derived from the Bible,
y así cada persona interpreta literalmente lo que está escrito. Y esto no es algo para interpretar o hacer literalmente como está escrito,;and so each person literally interprets what is written. And this is not something to interpret or to do literally as it is written,
porque necesitamos darnos cuenta de que aquí la Biblia también está narrando mucha historia;because we need to realize that here the Bible is also narrating a lot of history
y está narrando muchas costumbres de ese tiempo, costumbres de los judíos, por ejemplo, y sus tradiciones;and is narrating a lot of customs of that time, customs of the Jews, for example, and their traditions
y sus costumbres. Y entonces, cuando nuestro Señor Jesucristo vino con su evangelio para predicarlo,;and their customs. And then, when our Lord Jesus Christ came with his gospel to preach it,
dijo que había enviado el Espíritu Santo para enseñarnos para que nos guiara haciendo las cosas bien;he said he had sent the Holy Spirit to teach us so that he may guide us in doing things right
e interpretar correctamente la Biblia, y esto es lo que ha ocurrido.;and interpreting the Bible correctly, and this is what has occurred.
Así que el Espíritu Santo nos ha enseñado que todo lo que Moisés había ordenado en la integridad, las mujeres necesitaban ser cubiertas.;So the Holy Spirit has taught us that everything that in Integrity Moses had ordered, women needed to be covered.
Bueno, ahora, en el evangelio de Cristo esto ha sido eliminado, esa costumbre ha sido quitada.;Well, now, in the gospel of Christ this has been removed, that custom has been removed.
Aquí encontramos que el apóstol estaba dando una enseñanza, porque en ese tiempo había judíos que se convirtieron;Here we do find that the apostle was giving a teaching, because in that time there were Jews that converted
y había mucha gente de otras naciones que se convertían en el evangelio, al cristianismo.;and there were many people of other nations converting to the gospel, to Christianity.
Ahora no podía, de un día a otro, quitar su cultura;Now he could not, from one day to the next, take away their culture
y la costumbre que había seguido durante muchos siglos. Era prudente;and the custom that had followed for many centuries. He was prudent
y era prudente al decir que era mejor que las mujeres dejar que su cabello creciera,;and was wise in saying that it was better than for women to just let their hair grow out,
y dejando crecer su pelo que era suficiente. Fue suficiente.;and by letting their hair grow that was enough. It was enough.
Ya no necesitaban usar un velo, porque con su cabello era suficiente.;They no longer needed to wear a veil, because with their hair it was enough.
Y con hombres dijo que los hombres deberían cortarse el pelo.;And with men he said that the men should cut their hair short.
Aún hasta hoy, según el Espíritu Santo;Yet even to this day, according to the Holy Spirit
y lo que el Señor ha revelado, lo que nos ha mostrado,;and What the Lord Has revealed, what he has showed us,
ya no da tanta importancia a estos físicos,;he no longer gives so much importance to these physical,
cosas materiales que vivimos o que practicamos o tenemos.;material things that we live or that we practice or we have.
Más bien, mira el corazón, que en el corazón no debe haber odio, resentimiento o venganza,;Rather, he looks at the heart, that in the heart there should be no hate, resentment, or Vengeance,
que en el corazón no debe haber robos, homicidios, fornicación, adulterio,;that in the heart there should be no thefts, homicides, fornication, adultery,
que no debe haber nada malo en nuestro corazón. Esto es lo que el Espíritu Santo enseña hoy;that there should be nothing evil in our heart. This is what the Holy Spirit teaches today
y nos dice que debemos practicar todos esos externos, físicos,;and tells us that we ought to then practice all of those external, physical,
y cosas materiales sobre nuestro atuendo o prendas. Dios ya no da tanta importancia.;and material things about our attire or garments. God no longer gives that so much importance.
Para Dios no es tan importante si quieres usar una prenda larga hasta el suelo,;For God it is not that important if you want to use a long garment all the way to the floor,
Dios no dirá nada. Si quieres llevar tu ropa un poco más alta que lo que la gente en América Latina está acostumbrada,;God won't say anything. If you want to wear your garment maybe a little bit higher up than what people in Latin America are used to,
a veces está un poco debajo de la rodilla, Dios no dice nada.;sometimes it's a little bit below the knee, God doesn't say anything.
Él no está preocupado con eso, porque Dios enseñó que lo que es importante es lo que está aquí en el corazón.;He is not concerned with that, because God taught that what is important is what is here in the heart.
Por eso dijo: "Bienaventurados los que tienen corazón puro, porque verán a Dios;This is why he said, 'Blessed are those with a pure heart, for they shall see God
y alcanzará el Reino del Cielo. Dios de ninguna manera está diciendo por tu atuendo que vas a alcanzar el Reino de los Cielos,;and will attain the Kingdom of Heaven.' God in no way is he saying because of your attire you are going to attain the Kingdom of Heaven,
y la forma en que te vistes estarás allí en la eternidad. No.;and the way that you dress you will be there in eternity. No.
Lo que dice es que necesitas ser una persona modesta;What he is saying is that you need to be a person that is modest
y conservador y hacer cosas normalmente, sin causar ningún escándalo,;and conservative and doing things normally, without ever causing any Scandal,
o causar que los hombres sean provocados por tal vez caminando alrededor de tal vez desnudo o semidesnudo para tratar;or or causing men to be provoked by maybe walking around maybe naked or semi-naked to try
y provocar a otras personas, hombres o mujeres. Y esto es lo que el Señor dice: no deberías hacer.;and provoke other people, men or women. And this is what the Lord says: you shouldn't do.
Sé modesto, sé honesto y bien vestido. Esto es lo que el Señor enseña.;Be modest, be honest, and neatly dressed. This is what the Lord teaches.
Pero lo que Dios quiere es la Perfección de nuestras acciones en la forma en que nos comportamos.;But what God wants is the Perfection of our actions in the way that we behave.
Lo que llevamos ya no cuenta. Pero uno de estos días,;What we wear no longer counts. But one of these days,
uno de estos días sé que Dios va a revelar;one of these days I know that God is going to reveal
y te enseñan muchas cosas, porque Dios enseña a través de los sueños.;and teach many things to you, because God teaches through dreams.
Dios, a través de los sueños, da muchas enseñanzas cuando las personas tienen una investigación, una duda, y esta persona ama a Dios.;God, through dreams, gives many teachings when people they have an inquiry, a doubt, and this person loves God.
Dios les revela cosas. Así que no te preocupes.;God then reveals things to them. So do not worry.
No te preocupes. Sigues adelante y lees la Biblia y amas a Dios,;Don't worry. You continue onward and read the Bible and love God,
y Dios te enseñará, y él aclarará muchas cosas.;and God will teach you, and he will clarify many things.
Eso es. No vamos a discutir sobre asuntos de cómo vestir,;That's it. We are not going to argue concerning matters of how to dress,
o asuntos que realmente no tienen importancia. Son cosas materiales en la vida.;or matters that really bear no importance. They are material things in life.
Podemos discutir otras cosas que son realmente importantes para nuestra vida espiritual;We can discuss other things that are actually important to our spiritual life
y no sobre lo físico o lo material. Y así, de esta manera, no vamos a caminar;and not about the physical or the material. And so, in this way, we are not going to maybe walk
y hacer las cosas palabra por palabra en lo que un versículo está diciendo aquí,;and do things word for word in what a verse is saying here,
porque desde un versículo una religión diferente puede comenzar.;because from one verse a different religion can start up.
Y lo triste es que todas las religiones pasan sin Dios.;And the sad thing is that all religions go about without God.
Dicen que claman a Dios, que creen en Dios,;They say that they cry out to God, that they believe in God,
pero Dios no se manifiesta en sus vidas. Y como Dios se manifiesta entre nosotros,;but God does not manifest himself in their lives. And as God is manifesting himself Among Us,
nos está enseñando muchas cosas. Esta es la invitación que hacemos a otras personas,;he is teaching us many things. This is the invitation that we make to other people,
a los de otras religiones, para amar al verdadero Dios, y que este verdadero Dios les enseñará;to those of other religions, to love the true God, and that this true God will teach them
y él va a guiarlos y mostrarles el verdadero camino para seguir adelante.;and he is going to guide them and show them the true path to follow onward.
Eso es. De acuerdo.;That's it. All right.
