Conocí a una mujer judía, y ella me dijo que no dijera Jehová.;I met a woman that is Jewish, and she told me to not say Jehovah.
Quiero preguntarle amablemente, hermana, si me permite: ¿por qué dijo esto?;I want to kindly ask you, sister, if you allow me: why did she say this?
Porque muchos me han dicho que no llamamos al Señor Jehová.;Because many people have said to me that we don't call the Lord Jehovah.
Gracias, hermana. Bien, eso es una cuestión de idiomas;Thank you, sister. Okay, that is a matter of languages
y pronunciación. Cuando Dios se presentó a Moisés, dijo:,;and pronunciation. When God presented himself to Moses, and he said,
de ahora en adelante me conocerás como el Señor, porque antes lo habían conocido como el Dios omnipotente,;from now on you will know me as the Lord, because previously they had known him as the omnipotent God,
dios todopoderoso, pero ahora me conocerás como el Señor.;almighty God, but now you will know me as the Lord.
Y resulta que, cuando esa palabra fue traducida, era sin ninguna vocal, y era sólo consonantes.;And it turns out, when that word was translated, it was without any vowels, and it was just consonants.
Es sólo la consonancia, y no somos capaces de pronunciar los consonantes,;It is only the consonance, and we are unable to pronounce the consonants,
y como no podían ser pronunciados los consonantes que Dios había dado a estos profetas,;and as they could not be pronounced the consonants that God had given to these prophets,
por eso los traductores, los que traducían la Biblia de un idioma a otro, acordaron;this is why the translators, those that were translating the Bible from one language to another, they agreed
y decidieron añadirle vocales para pronunciarla. Pero independientemente, hay muchos idiomas,;and they decided to add it vowels in order to pronounce it. But regardless, there are many languages,
y en cada idioma la gente nombre a Dios de manera diferente. Cada idioma tiene sus propias palabras, letras, consonantes;and in every language people name God differently. Every language has their own words, letters, consonants
y vocales, son diferentes en cómo pronuncian el nombre de Dios o el Creador o el Padre celestial o el Dios que creó los cielos;and vowels, they're different in how they pronounce the name of God or the Creator or the heavenly father or The God Who created the heavens
y tierra, sin embargo, quieren llamarlo en su lenguaje. Pero de cualquier manera Dios nos entiende.;and earth, however they want to call him in their language. But either way God understands us.
Dios nos entiende porque Dios ve el lenguaje espiritual, pero tenemos nuestro lenguaje espiritual para presentarnos ante el que es lo que cuenta,;God understands us because God sees the spiritual language, but we have our spiritual language to present ourselves before him which is what counts,
que es nuestro corazón. Nuestro corazón está vinculado al Creador, a ese ser sobrenatural,;which is our heart. Our heart is linked to the Creator, to that supernatural being,
así que de una manera u otra tiene que ser nombrado para que podamos dirigirnos a él.;so in one way or another he has to be named so that we are able to address him.
Entonces no te preocupes. Dile a esa persona que está bien si no llamas a Jehová,;So then do not worry. You tell that person, okay, that's fine if you don't call Jehovah,
pero todavía lo entiende. Dios me entiende porque en mi lenguaje decimos Dios.;but he still understands. God understands me because in my language we say God.
¿Cómo lo llamas en francés o alemán? Lo llamas Dios, el Creador,;How do you call him in French or German? You call him God, the Creator,
o el que creó los cielos y la tierra. Cada lengua tiene un nombre para él, así que no podíamos decir,;or the one who created the heavens and earth. Every language has a name for him, so we couldn't say,
bueno, no llames su nombre en francés, porque no te va a escuchar.;oh well, don't call his name in French, because he's not going to hear you.
El Señor no habla francés o Dios no quiere que hables francés sino otro idioma.;The Lord doesn't speak French or God does not want you to speak French but another language.
No, no importa el lenguaje. Los seres humanos, la gente llama a Dios en su lenguaje, en su dialecto,;No, it doesn't matter the language. Human beings, people call upon God in their language, in their dialect,
y Dios los entiende. Dios comprende, porque esa persona está llamando a un ser sobrenatural, no algo físico.;and God understands them. God comprehends, because that person is calling on a supernatural being, not something physical.
