Hermana, tengo dos preguntas, una personal y una de la Biblia.;Sister, I have two questions, one personal and one from the Bible.
La de la Biblia se refiere a lo que está escrito en Apocalipsis en el capítulo 13 donde habla de las dos bestias.;The one from the Bible refers to what's written in Revelation in chapter 13 where it talks about the two beasts.
Y es algo que no me queda muy claro.;And it's something that's not quite clear to me.
Ah, sí. Dos bestias. Sobre las dos bestias. Sí. Sí. Y entonces preguntas: "¿Qué significa eso?" Sí, señora.;Ah, yes. Two beasts. About the two beasts. Yes. Yes. And so you ask, "What does that mean?" Yes, ma'am.
Muy bien. Apocalipsis es un libro lleno de misterios.;All right. Revelation is a book full of mysteries.
En el primer capítulo cuando Dios le dio la revelación a Juan, porque esta es la revelación que Dios le dio al apóstol Juan.;In the first chapter when God gave the revelation to John, because this is the revelation that God gave to the apostle John.
La historia dice que Juan era prisionero en una isla llamada la isla de Patmos.;The story says that John was a prisoner on an island called the island of Patmos.
Estaba allí en prisión y mientras estaba allí recibió la revelación.;He was there in prison and while there he received the revelation.
Y el Señor le dijo en el capítulo uno, porque a veces para entender tenemos que leer desde el principio.;And the Lord said to him in chapter one, because sometimes to understand we have to read right from the beginning.
Así que aquí en el capítulo 1 versículo uno dice: "La revelación de Jesucristo, que Dios le dio, para manifestar a sus siervos las cosas que deben suceder pronto.";So here in chapter 1 verse one it states, "The revelation of Jesus Christ which God gave him to show his servants things which must shortly take place."
Dice cosas que deben suceder pronto. Y él la declaró enviándola por medio de su ángel a su siervo Juan.;It says things which must shortly take place. And he sent and signified it by his angel to his servant John.
Quien dio testimonio de la palabra de Dios y del testimonio de Jesucristo, y de todas las cosas que ha visto.;Who bore witness to the word of God and to the testimony of Jesus Christ to all things that he saw.
Así que dice que esto era con el propósito de lo que iba a suceder pronto.;So it says that this was for the purpose of what was going to happen that shortly.
Ese "pronto" de Dios, bueno, puede durar muchos años porque no es nuestro "pronto".;That shortly of God's well it can last many years because it's not our shortly.
Cuando yo digo pronto, podría ser meses seguramente. Pero con el Señor, bueno, han pasado más de 2,000 años desde que el Señor estuvo en la tierra.;When I say shortly, it could be months surely. But with the Lord, well, it's been over 2,000 years since the Lord was on earth.
Le dijo a Juan: "Cosas que deben suceder pronto", cosas que van a pasar.;He said to John, "Things which must shortly take place," things that are going to happen.
Por eso hay muchos misterios. Hay mucha revelación que Dios no quiso explicarle a Juan.;That's why there are many mysteries. There's a lot of revelation that God didn't want to explain to John.
Hay muchas cosas que entendemos y comprendemos sobre Apocalipsis, pero hay otras que no podemos entender.;There are many things that we understand and comprehend about Revelation but there are others that we can't understand.
Así que cuando uno lee, por ejemplo, sobre las dos bestias, dice que Juan dice que estaba parado sobre la arena del mar.;So when one reads for example about the two beasts, it says John says that he stood on the sand of the sea.
Estas revelaciones vinieron a través de visiones. Dios le dio visiones a Juan.;These revelations came through visions. God gave John visions.
Y en las visiones era transportado en espíritu a muchos lugares y Dios lo colocaba en un cierto lugar.;And in the visions he was transported in spirit to many places and God placed him in a certain place.
Y allí le daba una revelación de algo.;And there gave him a revelation of something.
Y así dice aquí: "Estaba parado sobre la arena del mar." Significando que el Espíritu Santo lo llevó allí en esa visión.;And so he says here, "I stood on the sand of the sea." Meaning the Holy Spirit took him there in that vision.
Y le parecía que estaba en la orilla del mar.;And it seemed to him that he was on the shore of the sea.
Y fue entonces cuando dice que vio una bestia que subía del mar que tenía siete cabezas y diez cuernos.;And that's when he says he saw a beast rising up that had seven heads and 10 horns.
Esas siete cabezas y diez cuernos aparentemente eran el Imperio Romano.;Those seven heads and 10 horns apparently were the Roman Empire.
