Vamos a leer el Salmo 11. Reflexionemos sobre el Salmo 11.;We are going to read Psalm 11. Let's reflect upon Psalm 11.
Salmo 11, y dice: "En el Señor pongo mi confianza.";Psalm 11, and it reads, 'In the Lord I put my trust.'
¿Cómo puedes decirle a mi alma: 'Flee como un pájaro a tu montaña'?;How can you say to my soul, 'Flee as a bird to your mountain'?
Estoy seguro de que esta persona, o cualquiera de nosotros, si confiamos en el Señor, si confiamos en Dios,;I'm sure this person, or any one of us, if we trust in the Lord, if we trust in God,
entonces necesitamos ser firmes, y no tenemos razón para escondernos o huir a una montaña para escondernos del peligro.;well then we need to be steadfast, and we have no reason to hide or flee to a mountain to hide from danger.
Dice que cuando un pájaro es perseguido por su enemigo, huye y se esconde;It says, when a bird is being persecuted by their enemy, flees and hides
y va a una montaña para esconderse, y que nosotros, los creyentes, aquellos que conocen la palabra de Dios,;and goes to a mountain to hide, and that we, the believers, those knowledgeable of the word of God,
Estoy seguro de que puede ocurrir lo mismo. Pero el Señor dice que no debe ser así: que si confiamos en Dios,;I'm sure, maybe the same could occur. But the Lord says that this should not be how it is: that if we trust in God,
entonces no tenemos necesidad de escondernos como los pájaros lo hacen,;then we have no need to hide like the birds do,
o huir como los pájaros hacen cuando están en peligro, porque confiar en Dios es ser firme;or flee like the birds do when they're in danger, because to trust in God is to be steadfast
y firme en el mismo lugar. Como cuando el Señor, en otro salmo, dice: Salmo 125, creo,;and firm in the same place. Like when the Lord, in another psalm, He says, Psalm 125, I believe,
dice que los que confían en el Señor son comparados con el Monte Sion, que no puede ser movido,;it says, those who trust in the Lord are compared to Mount Zion, which cannot be moved,
pero permanece para siempre. ¿Por qué? Porque esa montaña recibe esos fuertes vientos: los huracanes, tempestades, granizo, nieve;but it abides forever. Why? Because that mountain receives those strong winds: the hurricanes, tempests, hail, snow
y diferentes tormentas de arena. Así que todo tipo de cosas vienen contra la montaña, pero la montaña sigue siendo,;and different sandstorms. So all sorts of things come against the mountain, but the mountain remains still,
la montaña no se rompe. Así el Señor dice que nosotros, Sus hijos, Sus creyentes,;the mountain does not break down. So the Lord says that we, His children, His believers,
