Mi pregunta se basa en el libro de Timoteo, en el primer libro de Timoteo, en el capítulo 2: 9;My question is based on the book of Timothy, in the first book of Timothy, in chapter 2: 9
y 10. Si me permites, hermana, de la misma manera que las mujeres adoran en ropa modesta con propiedad;and 10. If you allow me, sister, in like manner also that the women Adorn themselves in modest apparel with propriety
y moderación, no con cabello trenzado o oro o perlas o ropa costosa,;and moderation, not with braided hair or gold or pearls or costly clothing,
pero que es apropiado para las mujeres profesando piedad con buenas obras.;but which is proper for women professing godliness with good works.
Hermana, desde mi llegada a la iglesia tuve una preocupación acerca de la ropa, que el Señor,;Sister, since my arrival at the church I had a concern which was about clothing, that the Lord,
habiendo manifestado en la vida de muchas personas, estas personas también,;having manifested himself in the lives of many people, these people also,
habiendo testificado a las Maravillas que el Señor ha hecho en sus vidas, continúan de una manera algo inapropiada,;having testified the Wonders that the Lord has done in their lives, still continue in a somewhat inappropriate way,
si pudiéramos llamarlo así, um, usando algo de ropa que no son adecuados.;if we could call it that way, um, wearing some clothes that are not suitable.
En mi opinión, creo que la gente que no visita nuestra iglesia..,;In my thinking, I believe that people who do not visit our church, um,
pensaría mal o tendría una manera equivocada, equivocada,;would think wrongly or would have a wrong, wrong way,
una idea equivocada sobre el comportamiento de algunas personas aquí dentro de la iglesia.;a wrong idea about the behavior of some people here inside the church.
Usted ha hablado de esto en muchas ocasiones, así que ¿debemos continuar reproduciendo estas enseñanzas? Sí, puedes leer, hermano.;You have spoken about this on many occasions, so should we continue replicating these teachings? Yes, you can read, brother.
De acuerdo, hermano Win Buum. Cuando ese versículo habla de cómo las mujeres deben vestirse modestamente;All right, brother Win Buum. When that verse talks about how women should dress modestly
y no con nada Suntuosa, derecha, si volvemos al pasado, al tiempo de la Historia,;and not with anything Sumptuous, right, if we go back to the past, to the time of History,
cómo solían vivir y vestirse y comportarse, mujeres;how they used to live and dress and behaved, women
y hombres también, los griegos, los romanos, después todos los romanos, hombres;and men as well, the Greek, the Romans, afterward all Romans, men
y mujeres. No sé si alguna vez has visto en la televisión cómo muestran la forma en que se visten en Antigüedad,;and women. I don't know if you have ever seen on television how they show away the way they dressed in Antiquity,
la, la, la forma extravagante que visten, en un Manner extravagante,;the, the, the extravagant way they dressed, in an extravagant Manner,
y fue hecho por los ricos, los que tenían mucho dinero.;and it was done by the rich, those who had a lot of money.
Se visten de una manera extravagante para demostrar que eran ricos;They dressed in an extravagant way to show that they were rich
y para demostrar su importancia, su rango, su categoría, y se vio que hacían estilos de pelo hasta el techo,;and to demonstrate their importance, their rank, their category, and it was seen that they made hair styles up to the ceiling,
pusieron peinados hasta el techo. Y hombres también.;they put hairstyles up to the ceiling. And men too.
Hombres también vestidos casi como una mujer, con muchas joyas en sus oídos, Joyas por todo su cuerpo,;Men also dressed almost like a woman too, with many jewels in their ears, Jewels all over their body,
con muchas pinturas y algunos peinados y pelucas. Los hombres también llevaban tantas pelucas.;with many paintings and some hairstyles and wigs. Men also wore as many wigs.
Fue ostentoso, fue extravagante, porque lo hicieron para mostrar importancia.;It was ostentatious, it was extravagant, because they did it to show importance.
Aquellos que no se visten así eran los pobres, los desfavorecidos.;Those who did not dress like this were the poor, the underprivileged.
Así que la gente pobre, la gente desfavorecida vestía casi descalzo, andaba descalzo, andaba descalzos,;So the poor people, the underprivileged people dressed almost Barefoot, walked Barefoot, walked unkempt,
anduvo cubierto de un chal porque no tenían dinero. Pero las mujeres;walked around covered with some shawl because they had no money. But the women
y hombres de dinero demostraron su poder y su grandeza;and men of money demonstrated their power and their greatness
y su riqueza con la forma en que se visten. Y cuando llegó el evangelio, cuando llegó el evangelio, Porque,;and their wealth with the way they dressed. And when the gospel arrived, when the gospel arrived, Because,
incluso en el pueblo de Israel, ellos también utilizaron que las mujeres que encontramos que en Isaías capítulo 2 o capítulo 5 o algo así,;even in the people of Israel, they also used that the women we find that in Isaiah chapter 2 or chapter 5 or something like that,
Creo que el capítulo 2 de Isaías. donde habla castigo contra las hijas de Sión,;I think chapter 2 of Isaiah. where it speaks punishment against the daughters of Zion,
si alguien ha leído allí, así que dice que el pueblo de Israel,;if someone then has read there — so it says that the people of Israel,
las mujeres también usaban sus perfumes, usaban sus Joyas. Hay mujeres ricas;the women also used their perfumes, wore their Jewels. There were rich women
y mujeres pobres, hombres ricos, hombres pobres, y en consecuencia entonces llevaban mucho oro, muchas joyas,;and poor women, rich men, poor men, and accordingly then they wore a lot of gold, many jewels,
y así se visten, y de una manera era como una humillación para los pobres porque estaban bien vestidos;and so they dressed, and in a way it was like a humiliation for the poor because they were well dressed
y en muchos carruajes, mientras los pobres eran miserables, apenas tenían suficiente para comer.;and in many carriages, while the poor people were miserable, barely having enough for food.
Esa era la forma, como la forma de vestir. Cuando llegó el evangelio del Señor Jesús,;That was the way, like the way of dressing. When the gospel of the Lord Jesus arrived,
como el evangelio ya no era sólo para el pueblo de Israel, pero el evangelio vino para gente de muchas naciones — ellos,;as the gospel was no longer only for the people of Israel but the gospel came for people of many nations — they,
eran israelitas, extranjeros o gentiles — la promesa de que tenían todo derecho a ser salvos,;they were Israelites and foreigners or Gentiles — the promise that they had every right to be saved,
escuchar el evangelio y volver a Dios. Había una mezcla de cultura, una mezcla de dinero,;to hear the gospel and to turn to God. There was a mix then of culture, a mix of money,
de la gente: los que tenían dinero, los que no tenían dinero, los que vestían extravagantemente, los que no,;of people: those who had money, those who did not have money, those who dressed extravagantly, those who did not,
los que lo hicieron. Por eso los apóstoles comenzaron a enseñar eso,;those who did. So that's why the apostles began to teach that,
desde que el Espíritu Santo comenzó a venir a todas estas personas,;since the Holy Spirit started to come to all these people,
ambos judíos que se convirtieron en el evangelio, así como hombres y mujeres judíos que se convirtieron,;both Jews who converted to the gospel as well as Jewish men and women who converted,
y extranjeros o entre los gentiles hombres y mujeres que también se convirtieron, había también esta diferencia en la cultura,;and foreigners or among the Gentiles men and women who also converted, there was also this difference in culture,
en la ropa y en el modo de comportarse en la vida diaria.;in clothing and in the way of behaving in daily life.
¿Qué hacen los apóstoles? Les dijeron que ya no necesitas probar que los que tienen dinero ya no necesitan probar que eres rico,;What do the apostles do? They told them, you no longer need to prove those who have money no longer need to prove that you are rich,
no lo muestra con sus Joyas, con su ropa, con su forma de vestir.;you do not show it with your Jewels, with your clothes, with your way of dressing.
No muestren que tienen riqueza allí, porque ya tienen el Espíritu Santo;Do not show that you have wealth there, because you already have the Holy Spirit
y todos somos iguales en el Señor, pobres y ricos.;and we are all equal in the Lord, poor and Rich.
El Espíritu Santo viene, nos da — Dios da, nos da dones espirituales a todos — para que ya no sepan,;The Holy Spirit comes, gives us — God gives, gives spiritual gifts to us all — so you no longer know,
ya no vestir con esa suntitud. No vayas por encima, sé más moderado en tu forma de vestir,;no longer dress with that sumptuousness. Don't go over the top, be more moderate in your way of dressing,
porque ya no tienes que demostrar nada a nadie.;because you no longer have to prove anything to anyone.
Debes demostrar que eres un hijo de Dios, una hija de Dios,;You must show that you are a son of God, a daughter of God,
pero con el poder que Dios te da y el apoyo con los dones espirituales que tienes.;but with the power that God gives you and the support with the spiritual gifts that you have.
Así es como usted ya demuestra su grandeza o su dignidad, pero ya no es ER con riqueza.;That is how you already demonstrate your greatness or your dignity, but it is no longer ER with wealth.
Por eso el Apóstol dijo que no es que sea pecado,;So that's why the Apostle said it's not that it's a sin,
fue simplemente que dijo que no hacer las cosas de una manera extravagante, porque eso ya no se ve bien.;it was simply that he said don't do things in an extravagant way, because that no longer looks good.
Ahora vas a mostrar tus virtudes, las virtudes;Now you are going to show your virtues, the virtues
y cualidades morales, eso es lo que la persona debe demostrar que tienen y no Joyas más.;and moral qualities, that's what the person must demonstrate that they have and not Jewels anymore.
Aunque si tienes dinero y te gusta usar tus joyas, entonces usa tus joyas,;Although if you have money and like to use your Jewels, then use your Jewels,
pero para estar en la iglesia, en la congregación, ya no necesitas probar que eres una figura superior importante porque tienes mucho dinero.;but to be in the church, in congregation, you no longer need to prove that you are an important Superior figure because you have a lot of money.
Pero vas a demostrar que eres una persona que tiene dones espirituales,;But you are going to demonstrate that you are a person who has spiritual gifts,
que tiene a Dios en su corazón, que sirve a Dios, y que Dios lo está usando para realizar milagros;who has God in his heart, who serves God, and that God is using him or her to perform Miracles
y señales. Pero eso es lo que los apóstoles querían enseñar, porque eso no era pecado.;and signs. But so that's what the apostles wanted to teach, because that was not a sin.
En Isaías, cuando leemos, dice que Dios, como castigo al pueblo de Israel,;In Isaiah, when we read, it says that God, as a punishment to the people of Israel,
iba a empobrecerlos de tal manera que las mujeres ya no tenían los medios para poner el maquillaje o cómo vestirse,;he was going to impoverish them in such a way that the women no longer had the means to put on makeup or how to dress,
porque el Señor iba a convertir todo en un banco, dijo:,;because the Lord was going to convert everything into a stench, he said,
porque el Señor envió una guerra a los israelitas a Jerusalén.;because the Lord sent a war to the Israelites to Jerusalem.
